rownames,ethical_review_board_id,created,modified,name,submission_date,acceptance_date,created_by_id,last_modification_by_id,project_id
63,65,2018-07-18 ,2018-07-18 ,ERB MSF,2013-10-04,2013-11-25,,,169
64,66,2018-07-18 ,2018-07-18 ,Colombia ERC,2014-02-02,2014-05-17,,,169
65,67,2018-07-18 ,2018-07-18 ,ERB MSF,2014-09-24,2014-12-19,,,259
66,68,2018-07-18 ,2018-07-18 ,Mozambique ERB,2014-09-01,2015-05-07,,,259
67,69,2018-07-18 ,2018-07-18 ,ERB MSF,2014-01-12,2014-03-16,,,401
68,70,2018-07-18 ,2018-07-18 ,ERB MSF,2015-08-11,2015-08-28,,,427
69,71,2018-07-18 ,2018-07-18 ,CCNE Niger,2015-07-27,2015-08-13,,,427
70,72,2018-07-18 ,2018-07-18 ,ERB MSF,2015-03-15,2015-03-25,,,447
71,73,2018-07-18 ,2018-07-18 ,MoH Guinea,2015-02-02,2015-03-26,,,447
72,74,2018-07-18 ,2018-07-18 ,WHO,2015-01-15,2015-01-26,,,447
73,75,2018-07-18 ,2018-07-18 ,NIPH,2015-02-09,2015-03-19,,,447
74,76,2018-07-18 ,2018-07-18 ,ERB MSF,2017-09-05,2017-11-18,,,482
75,77,2018-07-18 ,2018-07-18 ,CCNE Niger,2017-08-10,2017-09-28,,,482
76,78,2018-07-18 ,2018-07-18 ,CCNE,2015-05-30,2015-06-22,,,500
77,79,2018-07-18 ,2018-07-18 ,ERB MSF,2015-06-29,2015-09-23,,,524
78,80,2018-07-18 ,2018-07-18 ,CCNE Niger,2015-06-29,2015-07-16,,,524
79,81,2018-07-18 ,2018-07-18 ,ERB MSF,2015-12-21,2016-04-29,,,622
80,82,2018-07-18 ,2018-07-18 ,CCNE Niger,2016-01-12,2016-02-15,,,622
81,83,2018-07-18 ,2018-07-18 ,ERB MSF,2016-05-18,2017-11-13,,,644
82,84,2018-07-18 ,2018-07-18 ,ERB MSF,2016-05-26,2016-07-14,,,645
83,85,2018-07-18 ,2018-07-18 ,CCNE Niger,2016-05-26,2016-06-28,,,645
84,86,2018-07-18 ,2018-07-18 ,Comité Nacional de Bioética para a Saúde,2016-11-03,2016-12-06,,,669
85,87,2018-07-18 ,2018-07-18 ,ERB MSF,2017-07-05,2017-08-01,,,755
86,88,2018-07-18 ,2018-07-18 ,CNERS Niger,2016-07-18,2017-09-11,,,755
87,89,2018-07-18 ,2018-07-18 ,ERB MSF,2016-08-09,2016-09-21,,,756
88,90,2018-07-18 ,2018-07-18 ,CCNE Niger,2016-08-09,2016-09-22,,,756
89,91,2018-07-18 ,2018-07-18 ,ERB DRC,2017-05-22,2017-05-23,,,760
90,92,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2014-02-21,2014-05-13,,,253
91,93,2018-07-18 ,2018-07-18 ,UNCST Uganda,2014-05-16,2014-07-07,,,253
92,94,2018-07-18 ,2018-07-18 ,ERB MSF,2015-03-01,2015-06-01,,,461
93,95,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2015-06-03,2015-10-23,,,461
94,96,2018-07-18 ,2018-07-18 ,ERB MSF,2017-04-01,2017-06-01,,,406
95,97,2018-07-18 ,2018-07-18 ,ERB MSF,2015-03-01,2015-06-01,,,411
96,98,2018-07-18 ,2018-07-18 ,Mozambique ERB,2015-07-03,2015-10-23,,,411
97,99,2018-07-18 ,2018-07-18 ,Myanmar ethic committee,2016-05-01,2016-11-07,,,411
98,100,2018-07-18 ,2018-07-18 ,ERB MSF,2015-08-12,2016-01-08,,,493
99,101,2018-07-18 ,2018-07-18 ,Armenian ERB,2016-01-10,2016-02-25,,,493
100,102,2018-07-18 ,2018-07-18 ,Georgian ERB,2016-01-10,2016-02-11,,,493
101,103,2018-07-18 ,2018-07-18 ,Kenyan ERB,2016-01-10,2016-05-03,,,493
102,104,2018-07-18 ,2018-07-18 ,Belarus ERB,2015-11-01,2015-12-24,,,493
103,105,2018-07-18 ,2018-07-18 ,Kyrgyzstan ERB,2016-07-11,2017-06-01,,,493
104,106,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2013-03-07,2013-03-25,,,494
105,107,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2013-03-07,2013-06-06,,,494
106,108,2018-07-18 ,2018-07-18 ,CPP Ile-de-France V Saint Antoine,2015-06-22,2015-09-01,,,498
107,109,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2015-07-15,2015-11-04,,,498
108,110,2018-07-18 ,2018-07-18 ,LSHTM REC,2016-02-01,2016-07-14,,,549
109,111,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2016-04-08,2016-09-22,,,549
110,112,2018-07-18 ,2018-07-18 ,UNCST Uganda,2016-10-01,2017-01-18,,,549
111,113,2018-07-18 ,2018-07-18 ,CCNE,2016-09-02,2017-04-29,,,652
112,114,2018-07-18 ,2018-07-18 ,CCNE,2016-12-05,2016-12-18,,,737
113,115,2018-07-18 ,2018-07-18 ,Harvard,2017-03-10,2017-05-21,,,748
114,116,2018-07-18 ,2018-07-18 ,Sokoto Nigeria,2017-04-17,2017-06-22,,,748
115,117,2018-07-18 ,2018-07-18 ,CNERS Niger,2017-04-25,2017-05-18,,,757
116,118,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2017-06-03,2017-09-05,,,817
117,119,2018-07-18 ,2018-07-18 ,UNCST Uganda,2016-04-08,2016-09-22,,,817
118,120,2018-07-18 ,2018-07-18 ,ERB MSF,2015-04-17,2015-06-25,,,489
119,121,2018-07-18 ,2018-07-18 ,ERB MSF,2015-10-29,2016-01-17,,,630
120,122,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2014-05-07,2014-06-13,,,296
121,123,2018-07-18 ,2018-07-18 ,KEMRI ERC  Kenya,2014-05-05,2014-07-11,,,296
122,124,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2014-05-02,2014-06-20,,,296
123,125,2018-07-18 ,2018-07-18 ,ERB MSF,2014-08-01,2014-08-25,,,361
124,126,2018-07-18 ,2018-07-18 ,ERC INS  Mozambique,2014-07-15,2015-05-05,,,361
125,127,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2016-07-07,2016-12-27,,,586
126,128,2018-07-18 ,2018-07-18 ,ERB Chad,2014-02-04,2014-02-10,,,600
127,129,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2014-01-30,2014-03-19,,,600
128,130,2018-07-18 ,2018-07-18 ,NECHR (Cambodia ERB) ,2016-09-15,2017-02-01,,,558
129,131,2018-07-18 ,2018-07-18 ,CPP Ile de France IX,2016-02-09,2016-10-20,,,558
130,132,2018-07-18 ,2018-07-18 ,CPP Ile-de-France V Saint Antoine,2016-02-16,2016-04-05,,,629
131,133,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2016-09-01,2016-09-06,,,571
132,134,2018-07-18 ,2018-07-18 ,KEMRI ERC  Kenya,2016-02-26,2016-06-08,,,571
133,136,2018-07-18 ,2018-07-18 ,CCNE Mali,2016-10-15,2016-11-01,,,693
134,137,2018-07-18 ,2018-07-18 ,ERB MSF,2017-01-04,2017-01-28,,,728
135,140,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2013-03-07,2013-03-25,,,777
136,141,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2013-03-07,2013-06-06,,,777
137,142,2018-07-18 ,2018-07-18 ,CPP Ile-de-France V Saint Antoine,2015-06-22,2015-09-01,,,780
138,143,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2015-07-15,2015-11-04,,,780
139,144,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2015-05-20,2015-06-18,,,781
140,145,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2016-01-06,2016-05-19,,,781
141,146,2018-07-18 ,2018-07-18 ,UNCST Uganda,2016-06-05,2016-07-07,,,781
142,147,2018-07-18 ,2018-07-18 ,ERB MSF,2017-02-10,2017-07-12,,,583
143,148,2018-07-18 ,2018-07-18 ,ER Cameroon dros,2016-12-10,2017-03-27,,,583
144,149,2018-07-18 ,2018-07-18 ,ERB Cameroon cnresh Cameroon,2016-11-01,2016-12-06,,,583
145,151,2018-07-18 ,2018-07-18 ,Comité d'Etique de l'école de santé publique de l'université de Kinshasa,2017-06-15,2017-08-04,,,746
146,152,2018-07-18 ,2018-07-18 ,CPP Ile-de-France V Saint Antoine,2015-08-20,2015-10-06,,,621
147,153,2018-07-18 ,2018-07-18 ,KEMRI ERC  Kenya,2015-11-23,2015-12-07,,,621
148,154,2018-07-18 ,2018-07-18 ,CPP Ile-de-France V Saint Antoine,2015-06-22,2015-09-01,,,569
149,155,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2015-07-15,2015-11-04,,,569
150,156,2018-07-18 ,2018-07-18 ,CPP Ile de France XI,2016-06-09,2016-07-17,,,641
151,157,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2015-05-20,2015-06-18,,,640
152,158,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2016-01-06,2016-05-19,,,640
153,159,2018-07-18 ,2018-07-18 ,UNCST Uganda,2016-06-05,2016-07-07,,,640
154,160,2018-07-18 ,2018-07-18 ,NECHR (Cambodia ERB) ,2017-06-04,2017-06-28,,,712
155,162,2018-08-10 ,2018-08-10 ,CPP Ile de France XI - Saint Germain en Laye,2015-09-16,2015-10-19,130,130,511
156,165,2018-10-29 ,2018-10-29 ,ERB MSF,2017-06-15,2017-09-10,130,130,746
157,167,2018-11-06 ,2018-11-06 ,ERB MSF,2017-06-15,2017-09-10,130,130,747
158,169,2018-11-06 ,2018-11-06 ,Kemri ERC  Kenya,2017-07-20,2017-09-09,130,130,747
159,171,2018-11-06 ,2018-11-06 ,ERB MSF,2017-11-15,2018-01-15,130,130,814
160,172,2018-12-05 ,2018-12-05 ,ERB MSF,2017-02-28,2018-06-23,130,130,655
161,173,2018-12-05 ,2018-12-05 ,CNERSH Cameroon,2016-11-01,2016-12-06,130,130,655
162,174,2018-12-18 ,2018-12-18 ,MSF ERB,2018-02-15,2018-03-15,130,130,869
163,175,2018-12-18 ,2018-12-18 ,Cambodia NECHR,2018-02-15,2018-04-02,130,130,869
164,176,2019-01-09 ,2019-01-09 ,MSF ERB,2018-07-02,2018-10-23,130,130,819
165,177,2019-01-09 ,2019-01-09 ,KEMRI ERC  Kenya,2018-08-15,2018-10-23,130,130,819
166,178,2019-01-09 ,2019-01-09 ,MSF ERB,2018-04-15,2018-07-23,130,130,774
167,179,2019-01-09 ,2019-01-09 ,HRIC,2018-03-15,2018-05-29,130,130,774
168,180,2019-01-11 ,2019-01-11 ,ERB Niger,2018-11-15,2018-12-20,130,130,972
169,181,2019-07-15 ,2019-07-15 ,CNERSH Cameroun,2018-03-15,2018-07-13,53,53,1030
170,182,2019-08-26 ,2019-08-26 ,South Sudan,2017-07-13,2017-12-07,39,39,644
171,183,2019-08-26 ,2019-08-26 ,MSF-ERB,2019-04-02,2019-06-17,39,39,877
172,184,2019-08-26 ,2019-08-26 ,Oxtrec,2019-02-01,2019-04-10,39,39,995
173,185,2019-09-11 ,2019-09-11 ,MSF ERB,2018-09-15,2019-10-31,30,30,868
174,186,2019-09-11 ,2019-09-11 ,Chad ERB,2018-09-15,2019-12-31,30,30,868
175,187,2019-09-26 ,2019-09-26 ,MSF ERB,2019-07-15,2019-09-20,130,130,1050
176,188,2019-09-26 ,2019-09-26 ,NHSRC,2019-07-04,2019-09-20,130,130,1050
177,189,2020-03-30 ,2020-03-30 ,ESP UNIKIN   DRC,2019-09-01,2019-09-09,25,25,857
178,190,2020-03-30 ,2020-03-30 ,MSF ERB,2019-08-15,2019-09-06,25,25,857
179,191,2020-04-08 ,2020-04-08 ,The Mbarara University of Science and Technology   Research Ethics Committee (MUST   REC),2019-01-24,2019-04-29,2,2,994
180,192,2020-04-08 ,2020-04-08 ,Uganda National Council for Science & Technology,2019-04-04,2019-06-10,2,2,994
181,193,2020-04-08 ,2020-04-08 ,National Drug Authority,2019-07-03,2019-09-23,2,2,994
182,194,2021-01-20 ,2021-01-20 ,MSF OCP DirMed Exemption from MSF ERB Review,2020-02-29,2020-03-17,168,168,1111
183,195,2021-01-20 ,2021-01-20 ,Malawi NHSRC,2020-03-06,2020-07-17,168,168,1111
