rownames,JOURNAL,departement,item_year,item_day,item_month,ref_doc,item_account,amount,details,company,project,nature
22,AET,EPIS,2020,9,7,44,67000000,16693.17,CFAO MOTORS NIGER ACOMPTE 50%,CFAO,824238,T61140
23,AFO,EPIS,2020,30,6,519,20410000,3960,EURELIS SITE INTERNET,EURELIS,80INFO,2030
24,AMO,EPIS,2020,31,7,128,64600000,106.2,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60210
25,AMO,EPIS,2020,31,7,129,64600000,207.35,MSF LOGISTIQUE NE945EPI,MSFLOGIS,821624,T60210
26,AMO,EPIS,2020,31,7,129,64700000,176,MSF LOGISTIQUE NE945EPI,MSFLOGIS,821624,T60200
27,AFO,EPIS,2020,15,7,520,68100000,752.4,UBIQUS DU 23/04/2020 N°858783,UBIQUS,80SECR,6810
28,AFO,EPIS,2020,15,7,521,68100000,752.4,UBIQUS   CA  DU 13/05/2020,UBIQUS,80SECR,6810
29,AFO,EPIS,2020,3,7,522,68100000,1148.8,LARROUZE TRADUCTION COPCOV,LARROUZE,821002,T65510
30,AFO,EPIS,2020,22,7,523,61231000,672,CMIE COTISATION *7 PERS-283195,CMIE,80GENE,6123
31,AFO,EPIS,2020,26,6,524,63730000,3141.6,IMAGES MATERIELS INFORMATIQUE,IMAGES,80INFO,6373
32,AFO,EPIS,2020,30,6,525,68100000,382.37,HARPERLEY TRANSLATIONS COVID19,HARPERLE,80LINK,6810
33,AFO,EPIS,2020,15,5,526,61020000,30,INSTITUT PASTEUR FLAVIO FINGER,INSTPAST,811536,T66230
34,AFO,EPIS,2020,25,5,527,61020000,45,INSTITUT PASTEUR BATINDA DANG,INSTPAST,811535,T66230
35,AIN,EPIS,2020,31,5,15,61200000,2240,ABOK Florence Adhiambo 31052020,MSFF,80S458,6120
36,AIN,EPIS,2020,31,5,15,61239000,200.32,ABOK Florence Adhiambo 31052020,MSFF,80S458,6123
37,AIN,EPIS,2020,31,5,15,61239000,54.88,ABOK Florence Adhiambo 31052020,MSFF,80S458,6123
38,AIN,EPIS,2020,31,5,15,61200000,629.31,BAHYA BATINDA Dang 31052020,MSFF,80S511,6120
39,AIN,EPIS,2020,31,5,15,61239000,192.06,BAHYA BATINDA Dang 31052020,MSFF,80S511,6123
40,AIN,EPIS,2020,31,5,15,61239000,15.41,BAHYA BATINDA Dang 31052020,MSFF,80S511,6123
41,AIN,EPIS,2020,31,5,15,61200000,1801,BANGURA Anca Ofelia 31052020,MSFF,80S506,6120
42,AIN,EPIS,2020,31,5,15,61239000,485.09,BANGURA Anca Ofelia 31052020,MSFF,80S506,6123
43,AIN,EPIS,2020,31,5,15,61239000,44.12,BANGURA Anca Ofelia 31052020,MSFF,80S506,6123
44,AIN,EPIS,2020,31,5,15,61200000,2398,BERTHE Fatou 31052020,MSFF,80S180,6120
45,AIN,EPIS,2020,31,5,15,61239000,201.7,BERTHE Fatou 31052020,MSFF,80S180,6123
46,AIN,EPIS,2020,31,5,15,61239000,58.75,BERTHE Fatou 31052020,MSFF,80S180,6123
47,AIN,EPIS,2020,31,5,15,61200000,2567,BOSSARD Claire 31052020,MSFF,80S424,6120
48,AIN,EPIS,2020,31,5,15,61239000,1491.8,BOSSARD Claire 31052020,MSFF,80S424,6123
49,AIN,EPIS,2020,31,5,15,61239000,62.89,BOSSARD Claire 31052020,MSFF,80S424,6123
50,AIN,EPIS,2020,31,5,15,61200000,4777,BOUM II Yap Jean Bertra 31052020,MSFF,80S092,6120
51,AIN,EPIS,2020,31,5,15,61239000,2491.03,BOUM II Yap Jean Bertra 31052020,MSFF,80S092,6123
52,AIN,EPIS,2020,31,5,15,61239000,117.03,BOUM II Yap Jean Bertra 31052020,MSFF,80S092,6123
53,AIN,EPIS,2020,31,5,15,61200000,2807,CHAMMAM Kaouther 31052020,MSFF,80S294,6120
54,AIN,EPIS,2020,31,5,15,61239000,1192.22,CHAMMAM Kaouther 31052020,MSFF,80S294,6123
55,AIN,EPIS,2020,31,5,15,61239000,68.77,CHAMMAM Kaouther 31052020,MSFF,80S294,6123
56,AIN,EPIS,2020,31,5,15,61334000,180.61,CHEN Hui Wu 31052020,MSFF,80S323,6133
57,AIN,EPIS,2020,31,5,15,61309000,1134,CHEN Hui Wu 31052020,MSFF,80S323,6130
58,AIN,EPIS,2020,31,5,15,61334000,402,CHEN Hui Wu 31052020,MSFF,80S323,6133
59,AIN,EPIS,2020,31,5,15,61200000,4161.87,COULBORN Rebecca 31052020,MSFF,80S310,6120
60,AIN,EPIS,2020,31,5,15,61239000,2039.38,COULBORN Rebecca 31052020,MSFF,80S310,6123
61,AIN,EPIS,2020,31,5,15,61239000,692.92,COULBORN Rebecca 31052020,MSFF,80S310,6123
62,AIN,EPIS,2020,31,5,15,61334000,180.61,CROWE Madeleine 31052020,MSFF,80S481,6133
63,AIN,EPIS,2020,31,5,15,61309000,1134,CROWE Madeleine 31052020,MSFF,80S481,6130
64,AIN,EPIS,2020,31,5,15,61334000,402,CROWE Madeleine 31052020,MSFF,80S481,6133
65,AIN,EPIS,2020,31,5,15,61200000,3321.9,GASTELLU ETCHEGORRY MAR 31052020,MSFF,80S390,6120
66,AIN,EPIS,2020,31,5,15,61239000,1751.02,GASTELLU ETCHEGORRY MAR 31052020,MSFF,80S390,6123
67,AIN,EPIS,2020,31,5,15,61239000,206.85,MBEGA Hassani Omari 31052020,MSFF,80S453,6123
68,AIN,EPIS,2020,31,5,15,61239000,420.29,GASTELLU ETCHEGORRY MAR 31052020,MSFF,80S390,6123
69,AIN,EPIS,2020,31,5,15,61200000,4705,GUINDO Ousmane 31052020,MSFF,80S200,6120
70,AIN,EPIS,2020,31,5,15,61239000,222.01,GUINDO Ousmane 31052020,MSFF,80S200,6123
71,AIN,EPIS,2020,31,5,15,61239000,73.08,MBEGA Hassani Omari 31052020,MSFF,80S453,6123
72,AIN,EPIS,2020,31,5,15,61239000,115.27,GUINDO Ousmane 31052020,MSFF,80S200,6123
73,AIN,EPIS,2020,31,5,15,61200000,1966,MUKAGATARE Isabelle 31052020,MSFF,80S452,6120
74,AIN,EPIS,2020,31,5,15,61200000,4904,KHAN Afsar 31052020,MSFF,80S336,6120
75,AIN,EPIS,2020,31,5,15,61239000,223.75,KHAN Afsar 31052020,MSFF,80S336,6123
76,AIN,EPIS,2020,31,5,15,61239000,120.14,KHAN Afsar 31052020,MSFF,80S336,6123
77,AIN,EPIS,2020,31,5,15,61239000,197.9,MUKAGATARE Isabelle 31052020,MSFF,80S452,6123
78,AIN,EPIS,2020,31,5,15,61200000,5025,KIRUPAKARAN Suresh 31052020,MSFF,80S489,6120
79,AIN,EPIS,2020,31,5,15,61239000,48.16,MUKAGATARE Isabelle 31052020,MSFF,80S452,6123
80,AIN,EPIS,2020,31,5,15,61239000,224.83,KIRUPAKARAN Suresh 31052020,MSFF,80S489,6123
81,AIN,EPIS,2020,31,5,15,61200000,4436,NASEER Nasir 31052020,MSFF,80S447,6120
82,AIN,EPIS,2020,31,5,15,61239000,123.11,KIRUPAKARAN Suresh 31052020,MSFF,80S489,6123
83,AIN,EPIS,2020,31,5,15,61239000,219.64,NASEER Nasir 31052020,MSFF,80S447,6123
84,AIN,EPIS,2020,31,5,15,61200000,2983,MBEGA Hassani Omari 31052020,MSFF,80S453,6120
85,AIN,EPIS,2020,31,5,15,61239000,108.68,NASEER Nasir 31052020,MSFF,80S447,6123
86,AIN,EPIS,2020,31,5,15,61200000,4001.93,PASQUIER ESTELLE 31052020,MSFF,80S428,6120
87,AIN,EPIS,2020,31,5,15,61239000,1871.39,PASQUIER ESTELLE 31052020,MSFF,80S428,6123
88,AIN,EPIS,2020,31,5,15,61239000,626.85,PASQUIER ESTELLE 31052020,MSFF,80S428,6123
89,AIN,EPIS,2020,31,5,15,61200000,1700,SAGARA Joseph Amadomon 31052020,MSFF,80S501,6120
90,AIN,EPIS,2020,31,5,15,61239000,195.57,SAGARA Joseph Amadomon 31052020,MSFF,80S501,6123
91,AIN,EPIS,2020,31,5,15,61239000,41.65,SAGARA Joseph Amadomon 31052020,MSFF,80S501,6123
92,AIN,EPIS,2020,31,5,15,61200000,1801,SAMAKE Moussa 31052020,MSFF,80S462,6120
93,AIN,EPIS,2020,31,5,15,61239000,196.45,SAMAKE Moussa 31052020,MSFF,80S462,6123
94,AIN,EPIS,2020,31,5,15,61239000,44.12,SAMAKE Moussa 31052020,MSFF,80S462,6123
95,AIN,EPIS,2020,31,5,15,61200000,4459.41,SHAMS ELDIN Manal 31052020,MSFF,80S392,6120
96,AIN,EPIS,2020,31,5,15,61239000,2074.88,SHAMS ELDIN Manal 31052020,MSFF,80S392,6123
97,AIN,EPIS,2020,31,5,15,61239000,696.82,SHAMS ELDIN Manal 31052020,MSFF,80S392,6123
98,AIN,EPIS,2020,31,5,15,61200000,3237,SOUMAH Aboubacar 31052020,MSFF,80S230,6120
99,AIN,EPIS,2020,31,5,15,61239000,209.09,SOUMAH Aboubacar 31052020,MSFF,80S230,6123
100,AIN,EPIS,2020,31,5,15,61239000,79.3,SOUMAH Aboubacar 31052020,MSFF,80S230,6123
101,AIN,EPIS,2020,31,5,15,61200000,3782,TEMFACK Elvis 31052020,MSFF,80S445,6120
102,AIN,EPIS,2020,31,5,15,61239000,213.88,TEMFACK Elvis 31052020,MSFF,80S445,6123
103,AIN,EPIS,2020,31,5,15,61239000,92.65,TEMFACK Elvis 31052020,MSFF,80S445,6123
104,AIN,EPIS,2020,31,5,15,61200000,2184,TOURE Oumar 31052020,MSFF,80S493,6120
105,AIN,EPIS,2020,31,5,15,61239000,199.82,TOURE Oumar 31052020,MSFF,80S493,6123
106,AIN,EPIS,2020,31,5,15,61239000,53.5,TOURE Oumar 31052020,MSFF,80S493,6123
107,OGE,EPIS,2020,31,5,66,61200000,2184,TOURE Oumar 31052020,,823729,T66011
108,OGE,EPIS,2020,31,5,66,61239000,199.82,TOURE Oumar 31052020,,823729,T66012
109,OGE,EPIS,2020,31,5,66,61239000,53.5,TOURE Oumar 31052020,,823729,T66012
110,OGE,EPIS,2020,31,5,66,61334000,135.46,CROWE Madeleine 31052020,,811489,T66012
111,OGE,EPIS,2020,31,5,66,61309000,850.5,CROWE Madeleine 31052020,,811489,T66011
112,OGE,EPIS,2020,31,5,66,61334000,301.5,CROWE Madeleine 31052020,,811489,T66012
113,OGE,EPIS,2020,31,5,66,61200000,-2240,ABOK Florence Adhiambo 31052020,,80S458,6120
114,OGE,EPIS,2020,31,5,66,61239000,-200.32,ABOK Florence Adhiambo 31052020,,80S458,6123
115,OGE,EPIS,2020,31,5,66,61239000,-54.88,ABOK Florence Adhiambo 31052020,,80S458,6123
116,OGE,EPIS,2020,31,5,66,61200000,-629.31,BAHYA BATINDA Dang 31052020,,80S511,6120
117,OGE,EPIS,2020,31,5,66,61239000,-192.06,BAHYA BATINDA Dang 31052020,,80S511,6123
118,OGE,EPIS,2020,31,5,66,61239000,-15.41,BAHYA BATINDA Dang 31052020,,80S511,6123
119,OGE,EPIS,2020,31,5,66,61200000,-1801,BANGURA Anca Ofelia 31052020,,80S506,6120
120,OGE,EPIS,2020,31,5,66,61239000,-485.09,BANGURA Anca Ofelia 31052020,,80S506,6123
121,OGE,EPIS,2020,31,5,66,61239000,-44.12,BANGURA Anca Ofelia 31052020,,80S506,6123
122,OGE,EPIS,2020,31,5,66,61200000,-2398,BERTHE Fatou 31052020,,80S180,6120
123,OGE,EPIS,2020,31,5,66,61239000,-201.7,BERTHE Fatou 31052020,,80S180,6123
124,OGE,EPIS,2020,31,5,66,61239000,-58.75,BERTHE Fatou 31052020,,80S180,6123
125,OGE,EPIS,2020,31,5,66,61200000,-2807,CHAMMAM Kaouther 31052020,,80S294,6120
126,OGE,EPIS,2020,31,5,66,61239000,-1192.22,CHAMMAM Kaouther 31052020,,80S294,6123
127,OGE,EPIS,2020,31,5,66,61239000,-68.77,CHAMMAM Kaouther 31052020,,80S294,6123
128,OGE,EPIS,2020,31,5,66,61334000,-180.61,CHEN Hui Wu 31052020,,80S323,6133
129,OGE,EPIS,2020,31,5,66,61309000,-1134,CHEN Hui Wu 31052020,,80S323,6130
130,OGE,EPIS,2020,31,5,66,61334000,-402,CHEN Hui Wu 31052020,,80S323,6133
131,OGE,EPIS,2020,31,5,66,61334000,-180.61,CROWE Madeleine 31052020,,80S481,6133
132,OGE,EPIS,2020,31,5,66,61309000,-1134,CROWE Madeleine 31052020,,80S481,6130
133,OGE,EPIS,2020,31,5,66,61334000,-402,CROWE Madeleine 31052020,,80S481,6133
134,OGE,EPIS,2020,31,5,66,61200000,-4705,GUINDO Ousmane 31052020,,80S200,6120
135,OGE,EPIS,2020,31,5,66,61239000,-222.01,GUINDO Ousmane 31052020,,80S200,6123
136,OGE,EPIS,2020,31,5,66,61239000,-115.27,GUINDO Ousmane 31052020,,80S200,6123
137,OGE,EPIS,2020,31,5,66,61200000,-4904,KHAN Afsar 31052020,,80S336,6120
138,OGE,EPIS,2020,31,5,66,61239000,-223.75,KHAN Afsar 31052020,,80S336,6123
139,OGE,EPIS,2020,31,5,66,61239000,-120.14,KHAN Afsar 31052020,,80S336,6123
140,OGE,EPIS,2020,31,5,66,61200000,-5025,KIRUPAKARAN Suresh 31052020,,80S489,6120
141,OGE,EPIS,2020,31,5,66,61239000,-224.83,KIRUPAKARAN Suresh 31052020,,80S489,6123
142,OGE,EPIS,2020,31,5,66,61239000,-123.11,KIRUPAKARAN Suresh 31052020,,80S489,6123
143,OGE,EPIS,2020,31,5,66,61200000,-2983,MBEGA Hassani Omari 31052020,,80S453,6120
144,OGE,EPIS,2020,31,5,66,61239000,-206.85,MBEGA Hassani Omari 31052020,,80S453,6123
145,OGE,EPIS,2020,31,5,66,61239000,-73.08,MBEGA Hassani Omari 31052020,,80S453,6123
146,OGE,EPIS,2020,31,5,66,61200000,-1966,MUKAGATARE Isabelle 31052020,,80S452,6120
147,OGE,EPIS,2020,31,5,66,61239000,-197.9,MUKAGATARE Isabelle 31052020,,80S452,6123
148,OGE,EPIS,2020,31,5,66,61239000,-48.16,MUKAGATARE Isabelle 31052020,,80S452,6123
149,OGE,EPIS,2020,31,5,66,61200000,-4436,NASEER Nasir 31052020,,80S447,6120
150,OGE,EPIS,2020,31,5,66,61239000,-219.64,NASEER Nasir 31052020,,80S447,6123
151,OGE,EPIS,2020,31,5,66,61239000,-108.68,NASEER Nasir 31052020,,80S447,6123
152,OGE,EPIS,2020,31,5,66,61200000,-1700,SAGARA Joseph Amadomon 31052020,,80S501,6120
153,OGE,EPIS,2020,31,5,66,61239000,-195.57,SAGARA Joseph Amadomon 31052020,,80S501,6123
154,OGE,EPIS,2020,31,5,66,61239000,-41.65,SAGARA Joseph Amadomon 31052020,,80S501,6123
155,OGE,EPIS,2020,31,5,66,61200000,-1801,SAMAKE Moussa 31052020,,80S462,6120
156,OGE,EPIS,2020,31,5,66,61239000,-196.45,SAMAKE Moussa 31052020,,80S462,6123
157,OGE,EPIS,2020,31,5,66,61239000,-44.12,SAMAKE Moussa 31052020,,80S462,6123
158,OGE,EPIS,2020,31,5,66,61200000,-3237,SOUMAH Aboubacar 31052020,,80S230,6120
159,OGE,EPIS,2020,31,5,66,61239000,-209.09,SOUMAH Aboubacar 31052020,,80S230,6123
160,OGE,EPIS,2020,31,5,66,61239000,-79.3,SOUMAH Aboubacar 31052020,,80S230,6123
161,OGE,EPIS,2020,31,5,66,61200000,-3782,TEMFACK Elvis 31052020,,80S445,6120
162,OGE,EPIS,2020,31,5,66,61239000,-213.88,TEMFACK Elvis 31052020,,80S445,6123
163,OGE,EPIS,2020,31,5,66,61239000,-92.65,TEMFACK Elvis 31052020,,80S445,6123
164,OGE,EPIS,2020,31,5,66,61200000,-2184,TOURE Oumar 31052020,,80S493,6120
165,OGE,EPIS,2020,31,5,66,61239000,-199.82,TOURE Oumar 31052020,,80S493,6123
166,OGE,EPIS,2020,31,5,66,61239000,-53.5,TOURE Oumar 31052020,,80S493,6123
167,OGE,EPIS,2020,31,5,66,61200000,2240,ABOK Florence Adhiambo 31052020,,821009,T66011
168,OGE,EPIS,2020,31,5,66,61239000,200.32,ABOK Florence Adhiambo 31052020,,821009,T66012
169,OGE,EPIS,2020,31,5,66,61239000,54.88,ABOK Florence Adhiambo 31052020,,821009,T66012
170,OGE,EPIS,2020,31,5,66,61200000,629.31,BAHYA BATINDA Dang 31052020,,811535,T66011
171,OGE,EPIS,2020,31,5,66,61239000,192.06,BAHYA BATINDA Dang 31052020,,811535,T66012
172,OGE,EPIS,2020,31,5,66,61239000,15.41,BAHYA BATINDA Dang 31052020,,811535,T66012
173,OGE,EPIS,2020,31,5,66,61200000,1801,BANGURA Anca Ofelia 31052020,,824238,T66011
174,OGE,EPIS,2020,31,5,66,61239000,485.09,BANGURA Anca Ofelia 31052020,,824238,T66012
175,OGE,EPIS,2020,31,5,66,61239000,44.12,BANGURA Anca Ofelia 31052020,,824238,T66012
176,OGE,EPIS,2020,31,5,66,61200000,2398,BERTHE Fatou 31052020,,823665,T66011
177,OGE,EPIS,2020,31,5,66,61239000,201.7,BERTHE Fatou 31052020,,823665,T66012
178,OGE,EPIS,2020,31,5,66,61239000,58.75,BERTHE Fatou 31052020,,823665,T66012
179,OGE,EPIS,2020,31,5,66,61200000,2807,CHAMMAM Kaouther 31052020,,831141,T66011
180,OGE,EPIS,2020,31,5,66,61239000,1192.22,CHAMMAM Kaouther 31052020,,831141,T66012
181,OGE,EPIS,2020,31,5,66,61239000,68.77,CHAMMAM Kaouther 31052020,,831141,T66012
182,OGE,EPIS,2020,31,5,66,61334000,180.61,CHEN Hui Wu 31052020,,831167,T66012
183,OGE,EPIS,2020,31,5,66,61309000,1134,CHEN Hui Wu 31052020,,831167,T66011
184,OGE,EPIS,2020,31,5,66,61334000,402,CHEN Hui Wu 31052020,,831167,T66012
185,OGE,EPIS,2020,31,5,66,61334000,45.15,CROWE Madeleine 31052020,,811539,T66012
186,OGE,EPIS,2020,31,5,66,61309000,283.5,CROWE Madeleine 31052020,,811539,T66011
187,OGE,EPIS,2020,31,5,66,61334000,100.5,CROWE Madeleine 31052020,,811539,T66012
188,OGE,EPIS,2020,31,5,66,61200000,4705,GUINDO Ousmane 31052020,,824238,T66011
189,OGE,EPIS,2020,31,5,66,61239000,222.01,GUINDO Ousmane 31052020,,824238,T66012
190,OGE,EPIS,2020,31,5,66,61239000,115.27,GUINDO Ousmane 31052020,,824238,T66012
191,OGE,EPIS,2020,31,5,66,61200000,4904,KHAN Afsar 31052020,,824217,T66011
192,OGE,EPIS,2020,31,5,66,61239000,223.75,KHAN Afsar 31052020,,824217,T66012
193,OGE,EPIS,2020,31,5,66,61239000,120.14,KHAN Afsar 31052020,,824217,T66012
194,OGE,EPIS,2020,31,5,66,61200000,5025,KIRUPAKARAN Suresh 31052020,,821009,T66011
195,OGE,EPIS,2020,31,5,66,61239000,224.83,KIRUPAKARAN Suresh 31052020,,821009,T66012
196,OGE,EPIS,2020,31,5,66,61239000,123.11,KIRUPAKARAN Suresh 31052020,,821009,T66012
197,OGE,EPIS,2020,31,5,66,61200000,2983,MBEGA Hassani Omari 31052020,,821558,T66011
198,OGE,EPIS,2020,31,5,66,61239000,206.85,MBEGA Hassani Omari 31052020,,821558,T66012
199,OGE,EPIS,2020,31,5,66,61239000,73.08,MBEGA Hassani Omari 31052020,,821558,T66012
200,OGE,EPIS,2020,31,5,66,61200000,1966,MUKAGATARE Isabelle 31052020,,824238,T66011
201,OGE,EPIS,2020,31,5,66,61239000,197.9,MUKAGATARE Isabelle 31052020,,824238,T66012
202,OGE,EPIS,2020,31,5,66,61239000,48.16,MUKAGATARE Isabelle 31052020,,824238,T66012
203,OGE,EPIS,2020,31,5,66,61200000,4436,NASEER Nasir 31052020,,821009,T66011
204,OGE,EPIS,2020,31,5,66,61239000,219.64,NASEER Nasir 31052020,,821009,T66012
205,OGE,EPIS,2020,31,5,66,61239000,108.68,NASEER Nasir 31052020,,821009,T66012
206,OGE,EPIS,2020,31,5,66,61200000,1700,SAGARA Joseph Amadomon 31052020,,811480,T66011
207,OGE,EPIS,2020,31,5,66,61239000,195.57,SAGARA Joseph Amadomon 31052020,,811480,T66012
208,OGE,EPIS,2020,31,5,66,61239000,41.65,SAGARA Joseph Amadomon 31052020,,811480,T66012
209,OGE,EPIS,2020,31,5,66,61200000,1801,SAMAKE Moussa 31052020,,824238,T66011
210,OGE,EPIS,2020,31,5,66,61239000,196.45,SAMAKE Moussa 31052020,,824238,T66012
211,OGE,EPIS,2020,31,5,66,61239000,44.12,SAMAKE Moussa 31052020,,824238,T66012
212,OGE,EPIS,2020,31,5,66,61200000,3237,SOUMAH Aboubacar 31052020,,823729,T66011
213,OGE,EPIS,2020,31,5,66,61239000,209.09,SOUMAH Aboubacar 31052020,,823729,T66012
214,OGE,EPIS,2020,31,5,66,61239000,79.3,SOUMAH Aboubacar 31052020,,823729,T66012
215,OGE,EPIS,2020,31,5,66,61200000,3782,TEMFACK Elvis 31052020,,821699,T66011
216,OGE,EPIS,2020,31,5,66,61239000,213.88,TEMFACK Elvis 31052020,,821699,T66012
217,OGE,EPIS,2020,31,5,66,61239000,92.65,TEMFACK Elvis 31052020,,821699,T66012
218,AET,EPIS,2020,5,6,37,67000000,28018.02,TOYOTA HILUX 4*4 OUGANDA,TOYOTA,821009,T61140
219,AFO,EPIS,2020,26,6,507,64700000,27047.92,ALPHALAB MATERIELS LABO MARADI,ALPHALAB,820749,T60200
220,AIN,EPIS,2020,31,3,16,61000000,110.16,EPI2_PDIEM_T. FETTERS_EPICENTRE_,MSFF,821708,T66220
221,AIN,EPIS,2020,31,3,16,61030000,165.24,EPI2_PDIEM_E. PASQUIER_EPICENTRE,MSFF,821708,T66240
222,AIN,EPIS,2020,31,3,16,61030000,110.16,EPI2_PDIEM_A. MOORE_EPICENTRE_20,MSFF,821708,T66240
223,AIN,EPIS,2020,31,3,16,62310000,819.91,EPI2_SAL_Y.ABDULHAMID_NURSING TE,MSFF,821708,T66003
224,AIN,EPIS,2020,31,3,16,62310000,719.22,EPI2_SAL_D.KANTIOK_FINANCE COORD,MSFF,821708,T66003
225,AIN,EPIS,2020,31,3,16,62310000,832.09,EPI2_SAL_K.DALOEK_NURSE_Jan20 Gr,MSFF,821708,T66003
226,AIN,EPIS,2020,31,3,16,62310000,719.22,EPI2_SAL_L.JATAU_FINCO ASST _Jan,MSFF,821708,T66003
227,AIN,EPIS,2020,31,3,16,62310000,719.22,EPI2_SAL_R.TANKO_FINCO ASST_Jan2,MSFF,821708,T66003
228,AIN,EPIS,2020,31,3,16,62310000,719.22,EPI2_SAL_R.LONGURUM_FINCO ASST_J,MSFF,821708,T66003
229,AIN,EPIS,2020,31,3,16,62310000,1597.25,EPI2_SAL_T.WILLIAMS_OPERATIONAL,MSFF,823697,T66003
230,AIN,EPIS,2020,31,3,16,62700000,33.75,EPI2_2DW_DATA PROCESSING OFF_16H,MSFF,821708,T66300
231,AIN,EPIS,2020,31,3,16,62700000,94.41,EPI2_DW_S. NUHU_CLINICAL OFF_20-,MSFF,821708,T66300
232,AIN,EPIS,2020,31,3,16,62700000,107.62,EPI2_DW_A. SADIKU_EPIDEMIOLOGIST,MSFF,821708,T66300
233,AIN,EPIS,2020,31,3,16,62800000,345.01,EPI2_GROUP LIFE INSUR_AMOCO STAF,MSFF,821708,T66230
234,AIN,EPIS,2020,31,3,16,62831100,81.99,EPI2_MSF_PENSION_Y.ABDULHAMID_NU,MSFF,821708,T66100
235,AIN,EPIS,2020,31,3,16,62831100,76.68,EPI2_MSF_PENSION_K.DALOEK_NURSE_,MSFF,821708,T66100
236,AIN,EPIS,2020,31,3,16,62831100,71.92,EPI2_MSF_PENSION_D.KANTIOK_FINCO,MSFF,821708,T66100
237,AIN,EPIS,2020,31,3,16,62831100,71.92,EPI2_MSF_PENSION_L.JATAU_FINCO A,MSFF,821708,T66100
238,AIN,EPIS,2020,31,3,16,62831100,71.92,EPI2_MSF_PENSION_R.TANKO_FINCO A,MSFF,821708,T66100
239,AIN,EPIS,2020,31,3,16,62831100,71.92,EPI2_MSF_PENSION_R.LONGURUM_FINC,MSFF,821708,T66100
240,AIN,EPIS,2020,31,3,16,62831100,159.72,EPI2_MSF_PENSION_T.WILLIAMS_OPER,MSFF,823697,T66100
241,AIN,EPIS,2020,31,3,16,62831200,8.2,EPI2_MSF_NSITF_Y.ABDULHAMID_NURS,MSFF,821708,T66130
242,AIN,EPIS,2020,31,3,16,62831200,8.32,EPI2_MSF_NSITF_K.DALOEK_NURSE_Ja,MSFF,821708,T66130
243,AIN,EPIS,2020,31,3,16,62831200,7.19,EPI2_MSF_NSITF_D.KANTIOK_FINCO A,MSFF,821708,T66130
244,AIN,EPIS,2020,31,3,16,62831200,7.19,EPI2_MSF_NSITF_L.JATAU_FINCO ASS,MSFF,821708,T66130
245,AIN,EPIS,2020,31,3,16,62831200,7.19,EPI2_MSF_NSITF_R.TANKO_FINCO ASS,MSFF,821708,T66130
