rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,upduser_id
53,1,55,ad9c9fe7-28d5-4bf3-864e-dfeda1d53e93,3,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
54,1,55,9539b59a-97a4-45a4-b2e5-bdce43dbe528,4,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
55,1,55,25500932-9def-46f5-936b-9ff5f2dda228,5,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
56,1,55,5fb8a925-66c2-45fb-9647-3ab3f53c95f9,6,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
57,1,55,bf3d3e5a-f161-49d0-8aa7-b5c94d8275e7,33,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
58,1,55,a7b4c27c-40ba-4ca7-acb6-92b2ee3ba6a0,34,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
59,1,55,22662061-68a0-4b3e-8b95-564c2ad92855,35,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
60,1,55,5f1355e7-5890-4d40-a82c-ae582accbc4d,38,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
61,1,55,db1e7802-140f-42ad-b3a5-e7339086f135,39,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
62,1,55,c0000911-031e-4be5-8411-d8a1a4dc5f51,40,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
63,1,55,dfb4c827-6d12-44ea-adef-9d96015c7588,42,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
64,1,55,420ba571-9bc0-4365-a4ce-db257aa09481,43,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
65,1,55,32e6fddb-7544-4848-951c-a174918e8587,44,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
66,1,55,6f253930-819c-4450-b0ee-db7636bba437,58,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
67,1,55,2a5981d8-baa0-45ef-a044-283586ed7e9c,59,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
68,1,55,d036ea19-19bf-48e2-b33b-da2b33091fae,70,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
69,1,55,c3e90f52-e245-4d25-9bd5-73f4532c4ce6,71,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
70,1,55,bc78796e-1c5e-4e9e-bbbf-b879720868fd,72,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
71,1,55,a8ee1f3c-351e-4e55-8b69-7f48554c435a,88,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
72,1,55,cbeaa39b-6bf4-4e72-898c-f7728e512b8e,89,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
73,1,55,387d2e5a-2d88-418a-a17f-89f2812d175b,90,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
74,1,55,f44b857e-a3e3-4063-985e-00a4c6041ed0,91,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
75,1,55,624daacb-46e1-4d91-b786-ec31e62096a8,103,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
76,1,55,c897de72-502f-447a-bc65-d5d783030e4a,107,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
77,1,55,8cdbd3de-e6ac-4b0f-9aaf-a9960640a5ee,111,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
78,1,55,dcd22372-2fd1-45e4-a7ce-9b14fbd457c5,112,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
79,1,55,f9849d7a-97dd-46a2-af96-c5ba1541479b,153,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
80,1,55,4e65cc0f-55ff-40b2-8fec-bfd6c2b8f45f,151,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
81,1,55,e27933f5-28cc-41a4-88a6-b830efbd6ee8,144,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
82,1,41,7b7b2750-23c4-4e30-becf-2dcd2a47569e,87,0,2,2,,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2000,CHF,1619.957881,1619.96,0,0,0,0,,2013-11-18 ,54
83,1,41,86b8f0a4-1f9a-4d23-915e-74b7bbfbac86,5,0,2,2,,2014,0,0,0,0,0,0,0,6,0,0,0,0,0,6,20,CHF,16.199579,97.2,0,0,0,0,,2013-11-18 ,54
84,1,41,a0a1da6f-433f-4f66-ba68-ba99857909b9,1,0,2,2,,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1500,CHF,1214.968411,1214.97,0,0,0,0,,2013-11-18 ,54
85,1,41,e20ebd0b-2222-4083-9be5-257e95568304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-18 ,54
86,1,72,0601f5ec-f948-4855-8602-2198bfe36c0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-18 ,54
87,1,72,38c7d74d-d0d9-46a6-bea8-eb597296d66b,87,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,CHF,1619.957881,0,0,0,0,0,,2013-11-18 ,54
88,1,72,5e58b7d9-9951-44f2-9ca8-508fa896b444,5,0,2,2,,2014,0,0,0,0,0,6,0,0,0,0,0,0,0,6,20,CHF,16.199579,97.2,0,0,0,0,,2013-11-18 ,54
89,1,72,67907d78-121c-4747-94b5-87ed001dab24,97,25,1,1,,2014,0,1,1,1,1,6,0,0,0,0,0,0,0,10,740,EUR,740,7400,0,0,0,0,,2013-11-18 ,54
90,1,72,affb2195-c7f5-4d40-90f3-1ecaf70bdb0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-18 ,54
91,1,72,b316bab0-6ec7-44b9-9fd4-a34a65add4b0,35,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1500,CHF,1214.968411,2429.94,0,0,0,0,,2013-11-18 ,54
92,1,72,baf4ab17-2cd1-4c42-b6fb-26639978a457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-18 ,54
93,1,41,a39940ed-2802-447e-80ab-5c4dae25b7a1,165,67,2,2,,2014,3,3,2,2,2,2,2,0,0,0,0,0,0,16,332,EUR,332,5312,0,0,0,0,,2013-11-18 ,54
94,1,72,7813eded-4ca1-4694-9f30-c9e7211077e7,165,67,2,2,,2014,3,3,3,3,3,0,0,0,0,0,0,0,0,15,332,EUR,332,4980,0,0,0,0,,2013-11-18 ,54
95,1,113,09d302a4-139e-46c3-91de-c5ce70be9d52,97,54,1,1,,2014,0,0,0,0,0,0,0,0,3,4,3,0,0,10,775,EUR,775,7750,0,0,0,0,,2013-11-18 ,54
96,1,72,acc0a4ff-c752-4b89-945e-acd812980af2,1,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-18 ,54
97,1,156,10a63297-b3ae-4f46-9796-243a1598f428,97,49,1,1,,2014,10,10,12,10,10,10,10,10,10,10,10,10,0,122,0,EUR,0,0,0,0,0,0,,2013-11-18 ,49
98,1,156,26cfa1f4-2ccf-4224-8432-117fa0ce4ec4,155,0,2,2,,2014,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,260000,0,EUR,0,0,0,0,0,0,,2013-11-18 ,49
99,1,136,b7e9c81d-aafa-4295-8a63-e9e92de0c109,1,0,2,2,Validation Kenya,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,EUR,1000,1000,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891375976479881"">Billet Thomas Roederer Paris Nairobi</c>",2013-11-20 ,13
100,1,136,d08df4d0-6d1d-4382-bc61-be30add69b0f,2,0,2,2,Validation globale,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,200,EUR,200,2400,0,0,0,0,,2013-11-20 ,13
101,1,136,7aeaf678-96c4-4818-96e0-f2c2f2c8c69a,3,0,2,2,Validation Kenya,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,EUR,40,40,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891376445582090"">Visa Thomas Roederer Kenya</c>",2013-11-20 ,13
102,1,136,e3e39ccc-8be3-41ce-bf3f-839d75a0709a,5,0,2,2,Validation Kenya,2014,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,500,EUR,500,250,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891375012660072"">Thomas Roederer </c>",2013-11-20 ,13
103,1,136,d88da11b-0ce5-4c7a-bcbc-5cff586384c5,49,0,2,2,Validation Kenya,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,EUR,1000,1000,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891369593436807"">Validation au Kenya </c>",2013-11-20 ,13
104,1,136,fa2057b4-9b21-40f4-8253-9f6104712b5c,1,0,2,2,Validation Ouganda,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,EUR,1000,1000,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891377225469073"">Billet d'avion Caroline Marquer Ouganda </c>",2013-11-20 ,13
105,1,136,79294eb2-c7a1-41b7-b35e-fd941df27bb2,49,0,2,2,Validation Cambodge,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,500,EUR,500,500,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891369691335811"">Validation au Cambodge</c>",2013-11-20 ,13
106,1,136,c12a8ca8-4566-4cb5-adfe-1b3246818d35,49,0,2,2,Validation Ouganda,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,1,200,EUR,200,200,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891369902459055"">Validation en Ouganda </c>",2013-11-20 ,13
107,1,136,40182d2b-5c3a-481d-82b6-b357396f387a,1,0,2,2,Validation Cambodge,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000,EUR,1000,1000,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891377600952342"">Billet d'avion Caroline Marquer Cambodge </c>",2013-11-20 ,13
108,1,136,b7b66d2c-b33a-46e0-b722-f33e5afe6b3a,3,0,2,2,Validation Cambodge,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,EUR,20,20,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891379787390943"">Visa Cambodge Caroline Marquer </c>",2013-11-20 ,13
109,1,136,47f7e471-b58b-400c-afab-3e8be8821119,3,0,2,2,Validation Ouganda,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,EUR,50,50,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891379904880247"">Visa Ouganda Caroline Marquer</c>",2013-11-20 ,13
110,1,136,f50fdfac-fe45-43ef-a087-91496edf7300,18,0,2,2,Validattion Kenya,2014,900,0,400,0,0,0,0,0,0,0,0,0,0,1300,0.05,EUR,0.05,65,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891390824610520"">Validation Kenya</c><c author=""epiuser Fr"" col=""Article"" mod=""5246891492044955366"">Incluant échelle  lettre d'informations et consentement éclairé</c>",2013-11-20 ,13
111,1,136,1632961a-304c-408a-bedc-138eb577a2bf,62,0,2,2,Validation Ouganda,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,1,252,EUR,252,252,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891392452580534"">Validation Ouganda</c>",2013-11-20 ,13
112,1,136,a3595f6f-1465-43cf-b59d-caab26d7bda9,131,0,2,2,Validation Kenya,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,300,EUR,300,300,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891387270278408"">Validation Kenya</c>",2013-11-20 ,13
113,1,136,60945a30-7bce-4403-a1c7-a5bc93e7a4fe,150,0,2,2,Validation Kenya,2014,3,0,2,2,0,0,0,0,0,0,0,0,0,7,300,EUR,300,2100,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891385983646143"">Validation Kenya </c>",2013-11-20 ,13
114,1,156,10a63297-b3ae-4f46-9796-243a1598f428,97,49,1,1,,2014,10,10,12,10,10,10,10,10,10,10,10,10,0,122,775,EUR,775,94550,0,0,0,0,,2013-11-19 ,49
115,1,156,26cfa1f4-2ccf-4224-8432-117fa0ce4ec4,155,0,2,2,,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,250000,EUR,250000,250000,0,0,0,0,,2013-11-19 ,49
116,1,136,f50fdfac-fe45-43ef-a087-91496edf7300,18,0,2,2,Validation Kenya,2014,900,0,400,0,0,0,0,0,0,0,0,0,0,1300,0.05,EUR,0.05,65,0,0,0,0,"<c author=""epiuser Fr"" col=""Article"" mod=""5246891390824610520"">Validation Kenya</c><c author=""epiuser Fr"" col=""Article"" mod=""5246891492044955366"">Incluant échelle  lettre d'informations et consentement éclairé</c>",2013-11-20 ,13
117,1,137,574a3209-da8b-4243-86c2-f55c606d771b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-20 ,13
118,1,136,7f95bd42-e5e3-495a-8ef5-fbdeda7de20b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-20 ,13
119,1,136,4235870b-657f-4466-9ef4-f171197adfbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-20 ,13
120,1,136,ca47c8ec-56da-4502-adf7-18d0cfa2df52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-20 ,13
121,1,136,97815fac-659b-4ab8-a4dc-d60cf66b9d20,97,1,1,1,Validation Kenya,2014,5,10,0,0,10,0,0,0,0,0,0,0,0,25,775,EUR,775,19375,0,0,0,0,,2013-11-20 ,13
122,1,136,1df000ec-0c51-4f7c-9132-4d004474a8eb,97,1,1,1,Validation Cambodge,2014,0,0,0,0,0,0,10,0,0,0,0,0,0,10,775,EUR,775,7750,0,0,0,0,,2013-11-20 ,13
123,1,136,7b2aa5dd-295f-406c-b8e0-c5511e80ccd3,97,1,1,1,Validation Ouganda,2014,0,0,0,0,0,0,0,0,0,0,10,0,0,10,775,EUR,775,7750,0,0,0,0,,2013-11-20 ,13
124,1,137,f3285de1-51a3-43ad-bcb1-0ec838c38061,97,0,1,1,,2014,0,0,0,0,0,5,0,0,0,0,0,5,0,10,775,EUR,775,7750,0,0,0,0,,2013-11-20 ,13
