rownames,project_id,created,modified,name,code,on_the_field_project_code,locality,project_start_date,project_end_date,description_text,description_html,is_billable,guid,created_by_id,last_modification_by_id,division_id,activity_id,funding_type_id,pathology_id,country_id,responsible_id,analytical_axe_id,status,short_name,level,final_impact_comments,initiation_of_the_project_comments,partners_comments,topic_comments,study_pouplation_comments,population_comments,goal_comments,numbers_of_epidemiologist,term_of_reference_has_been_written,protocol_has_been_written,is_there_an_initial_restitution,is_there_a_report_to_be_delivered,is_there_an_article_to_be_submitted,trigger_comments,has_ethical_review_bord,various_countries,sponsor,other_final_impact,goal_id,trigger_id,security_context_id,population_id,role_of_epicentre_id,impact_expected_id,health_structure_id,study_design_id,methodology_id,data_type_id,linked_project_id,topic_id
11,11,2013-11-08 ,2014-02-05 ,C - Measles - DCR -  - Measles Eastern DRC 2013 intersectional  - MSF-F - MSF-B - MSF-CH -  - ,814232,"","",2013-01-01,2013-12-31,"","",1,,,60,5,1,1,23,1,33,12,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,43
12,12,2013-11-08 ,2018-11-30 ,Surveillance epidemiologique et production des cartes hebdomadaires  Haïti  OCP,811233,"","",2013-01-01,2014-12-31,Surveillance epidemiologique et production des cartes hebdomadaires  Haïti  OCP,"",1,,,130,7,1,1,22,7,31,13,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",5,2,4,2,1,4,,1,12,4,,6
13,13,2013-11-08 ,2018-08-01 ,Follow up OPD/IPD tool  MSF-OCP,811196,"","",2013-01-01,2016-12-31,Follow up OPD/IPD tool  MSF-OCP,"",1,,,130,5,1,1,25,,45,14,4,OPD IPD Tools,1,,,"","","",,,1,,,,,,"",0,1,"","",5,6,4,2,1,4,,1,12,2,,75
14,14,2013-11-08 ,2018-08-07 ,Annual Nutrition/Vaccination/Mortality survey  Koutiala  Mali,811234,"","",2013-01-01,2014-12-31,Annual Nutrition/Vaccination/Mortality survey  Koutiala  Mali,"",1,,,130,7,1,1,7,8,52,15,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,6,4,2,1,4,,1,1,3,,70
15,15,2013-11-08 ,2018-08-06 ,Health environmental survey  RDC  MSF-OCP,811178,"","",2013-01-01,2015-12-31,Health environmental survey  RDC  MSF-OCP,"",1,,,130,7,1,1,2,1,33,16,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",1,6,,2,2,1,,3,1,4,,55
16,16,2013-11-08 ,2018-08-07 ,Enquete nutritionnelle et de mortalité retrospective  RDV  Kabalo  OCP,811235,"","",2013-01-01,2013-12-31,Enquete nutritionnelle et de mortalité retrospective  RDV  Kabalo  OCP,"",1,,,130,5,1,1,5,1,20,17,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,3,3,1,1,,1,1,3,,70
17,17,2013-11-08 ,2018-08-07 ,Evaluation impact SMC  Tchad  OCP,811236,"","",2013-01-01,2014-12-31,Evaluation impact SMC  Tchad  OCP,"",1,,,130,7,1,1,4,9,23,18,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",4,6,4,2,1,1,,1,9,4,,22
18,18,2013-11-08 ,2018-08-07 ,C - Mortality - Tchad - Tissi/Goz Beida - Retrospective mortality survey - MSF-F -  -  -  - ,811237,"","",2013-01-01,2013-12-31,Mortality - Tchad - Tissi/Goz Beida - Retrospective mortality survey - MSF-F,"",1,,,130,5,1,1,6,9,39,19,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",,1,4,3,1,4,,1,1,3,,71
19,19,2013-11-08 ,2014-02-05 ,C - Malaria - Niger - Niamey - SMC Explo - MSF-E -  -  -  - ,812238,"","",2013-01-01,2013-12-31,"","",1,,,60,5,1,1,4,10,1,20,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
20,20,2013-11-08 ,2018-08-07 ,C - Nutrition - Burkina Faso -  - MUAC article writing - MSF-F -  -  -  - ,811239,"","",2013-01-01,2013-12-31,Nutrition - Burkina Faso -  - MUAC article writing - MSF-F,"",1,,,130,7,1,1,5,11,47,21,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,3,4,1,1,4,,1,1,3,,72
21,21,2013-11-08 ,2018-08-06 ,Surveillance and survey on water and sanitation in Kalemie  DRC,811154,"","",2013-01-01,2014-12-31,Surveillance and survey on water and sanitation in Kalemie  DRC,"",1,,,130,7,1,1,22,1,33,22,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",5,2,3,2,1,4,,1,12,4,,6
22,22,2013-11-08 ,2018-08-06 ,Surveillance prospective de la mortalité en communauté  Carnot  RCA,811168,"","",2013-01-01,2014-12-31,Surveillance prospective de la mortalité en communauté  Carnot  RCA,"",1,,,130,5,1,1,6,4,33,23,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,5,1,3,1,4,,1,12,4,,71
23,23,2013-11-08 ,2018-08-06 ,Surveillance méningite  Moissala  OCP,811224,"","",2013-01-01,2015-12-31,Surveillance méningite  Moissala  OCP,"",1,,,130,7,9,1,26,9,4,24,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,3,1,4,,1,12,4,,24
24,24,2013-11-08 ,2014-02-06 ,C - Malaria - Niger - Madaoua and Bouza - Investigation of an increase in malaria cases - MSF-E -  -  -  - ,812219,"","",2013-01-01,2013-12-31,"","",1,,,60,5,1,1,4,10,33,25,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
25,25,2013-11-08 ,2014-02-06 ,C - VVS - RDC - Nord et Sud Kivu - Evaluation des programmes psycho-sociaux - CICR -  -  -  - ,813240,"","",2013-01-01,2013-12-31,"","",1,,,60,5,1,1,27,1,13,26,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,68
26,26,2013-11-08 ,2018-08-07 ,SMC monitoring and coverage  Niger  MSF-F,811241,"","",2013-01-01,2014-12-31,SMC monitoring and coverage  Niger  MSF-F,"",1,,,130,7,1,1,4,10,39,27,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",4,6,4,2,1,4,,1,9,4,,22
27,27,2013-11-08 ,2014-02-05 ,C - Malaria - RDC - Bas Uélé - Malaria survey - MSF-CH -  -  -  - ,812206,"","",2013-01-01,2013-12-31,"","",1,,,60,5,1,1,4,1,33,28,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
28,28,2013-11-08 ,2018-08-07 ,C - Measles - Nigeria - Katsina - Post Measles Vaccination Coverage Survey - MSF-F -  -  -  - ,811242,"","",2013-01-01,2013-12-31,Measles - Nigeria - Katsina - Post Measles Vaccination Coverage Survey - MSF-F,"",1,,,130,7,1,1,23,12,48,29,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,2,1,4,,1,1,3,,43
29,29,2013-11-08 ,2014-12-08 ,SMC monitoring and coverage  Niger  MSF-E,812243,"","",2013-01-01,2014-12-31,"","",1,,,60,5,1,1,4,10,39,30,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
30,30,2013-11-08 ,2018-08-07 ,Evaluation of SP+AQ resistance during SMC  Madarounfa  Niger,811244,"","",2013-01-01,2015-02-28,Evaluation of SP+AQ resistance during SMC  Madarounfa  Niger,"",1,,,130,7,1,1,4,10,39,31,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,6,3,,1,4,,1,9,4,,22
31,31,2013-11-08 ,2018-08-06 ,C - Diphteria - Nigeria - Kimba - Epidemiological description of a diphtheria outbreak - MSF-F -  -  -  - ,811182,"","",2013-01-01,2013-12-31,C - Diphteria - Nigeria - Kimba - Epidemiological description of a diphtheria outbreak - MSF-F -  -  -  - ,"",1,,,130,7,1,1,14,12,33,32,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,2,3,2,1,4,,1,11,3,,42
32,32,2013-11-08 ,2014-10-10 ,SMC monitoring and coverage  Niger  MSF-CH,812246,"","",2013-01-01,2014-12-31,"","",1,,,60,5,1,1,4,10,39,33,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
33,33,2013-11-08 ,2018-08-22 ,SMC monitoring and coverage  Niger  MSF-B,812245, ,"",2013-01-01,2014-12-31,Description,"",1,,,60,5,1,1,4,10,39,34,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,22
34,34,2013-11-08 ,2018-08-07 ,SMC monitoring and coverage  Koutiala  Mali  MSF-F,811247,"","",2013-01-01,2014-12-31,SMC monitoring and coverage  Koutiala  Mali  MSF-F,"",1,,,130,7,1,1,4,8,39,35,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",6,6,4,2,1,4,,1,9,4,,22
35,35,2013-11-08 ,2018-08-07 ,Contrôle de qualité tests diagnostics rapides - MSF-OCP,811248,"","",2013-01-01,2015-12-31,Contrôle de qualité tests diagnostics rapides - MSF-OCP,"",1,,,130,8,1,1,19,3,4,36,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",3,6,4,2,1,1,,1,8,3,,75
36,36,2013-11-08 ,2018-08-01 ,Consultation envelope  MSF-OCP,811277,"","",2014-01-01,2020-12-31,Description,Description,1,,,130,7,1,1,19,,33,311,0,"",4,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",1,7,,4,2,4,,4,10,6,,78
37,37,2013-11-08 ,2018-08-01 ,Consultation envelope  MSF-OCB,812278,"","",2014-01-01,2020-12-31,Description,Description,1,,,130,7,1,1,19,,33,312,0,"",4,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",7,7,4,4,2,,,4,10,6,,78
38,38,2013-11-08 ,2018-08-01 ,Consultation envelope  MSF-OCG (XO400),812279,"","",2014-01-01,2020-12-31,Description&nbsp;,Description&nbsp;,1,,,130,5,1,1,19,,33,313,0,"",4,,,"","","",,,1,,,,,,"",0,0,"","",1,7,4,4,2,4,,4,10,6,,78
39,39,2013-11-08 ,2018-08-01 ,Consultation envelope  MSF-OCBa,812280,"","",2014-01-01,2020-12-31,Description&nbsp;,Description&nbsp;,1,,,130,7,1,1,19,,33,314,0,"",4,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",1,7,4,4,2,4,,4,10,6,,78
40,40,2013-11-08 ,2018-08-01 ,Consultation envelope  MSF-OCA,812281,"","",2013-01-01,2020-12-31,Description&nbsp;,Description&nbsp;,1,,,130,8,1,1,19,,33,315,0,"",1,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",7,7,4,4,,4,,4,10,6,,78
41,41,2013-11-08 ,2016-10-26 ,Buruli diagnostic score ,822171,"","",2013-01-01,2015-06-30,"","",1,,,60,5,2,1,33,,33,42,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,27
42,42,2013-11-08 ,2018-08-07 ,R - VPD - Niger - Maradi - Rotavirus epidemiology and vaccine study - MSF-F - MSF-B - MSF-CH -  - MSF-E,824164,"","",2013-01-01,2013-12-31, Niger - Maradi - Rotavirus epidemiology and vaccine study - MSF-F - MSF-B - MSF-CH -  - MSF-E,"",1,,,130,1,2,1,1,10,4,43,4,"",4,,,"",Rotavirus,"",,,1,,,,,,"",,0,"","",4,6,4,3,1,1,,1,5,3,,46
43,43,2013-11-08 ,2018-08-01 ,Antibiotic presciption habits in MSF-OCP hospital settings ,821330,"","",2013-01-01,2015-12-31,Antibiotic presciption habits in MSF-OCP hospital settings ,"",1,,,130,5,2,1,9,,11,44,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",,,,,1,1,,3,9,4,,2
44,44,2013-11-08 ,2018-08-05 ,Communication scientifique,821000,"","",2013-01-01,2020-12-31,description,description,1,,,130,4,10,1,19,3,19,45,2,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,78
45,45,2013-11-08 ,2018-08-05 ,Journée scientifique,821015,"","",2013-01-01,2020-12-31,Journée scientifique,"",1,,,130,4,10,1,19,3,19,46,2,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,78
46,46,2013-11-08 ,2019-01-04 ,Participation to various WG  intersection,824000,"","",2013-01-01,2018-12-30,Description,Description,1,,,60,4,10,1,19,36,19,47,4,"",1,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",2,7,,,,,,,,,,78
47,47,2013-11-08 ,2018-08-05 ,Partnership fund,821002,"","",2013-01-01,2020-12-31,Partnership fund,"",1,,,130,4,10,1,19,,19,48,2,"",,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,78
48,48,2013-11-08 ,2018-11-07 ,Support to Lab Working Group  intersection,824311,"","",2013-01-01,2020-12-31,description,description,1,,,60,1,10,1,19,36,11,49,2,"",1,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",1,7,,,3,,,,10,6,,76
49,49,2013-11-08 ,2018-10-15 ,Plateforme Scientifique Maradi,824238,NE902,"",2013-01-01,2019-12-31,A indiquer,"",1,,,130,1,10,1,34,10,43,50,2,"",4,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",,,4,,,,,,,,,78
50,50,2013-11-08 ,2018-08-09 ,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-N -  -  -  - ,822271,"","",2013-01-01,2013-12-31,R - General - Niger - Maradi/Niamey - Scientific Platform - MSF-N -  -  -  - ,"",1,,,130,1,2,1,19,10,43,51,4,"",2,,,"","","",,,1,,,,,,"",,0,"","",7,6,4,4,,5,,4,10,6,,78
51,51,2013-11-08 ,2018-08-14 ,Plateforme Scientifique Niamey,824217,NE910,"",2013-01-01,2019-12-31,Plateforme Scientifique Niamey,"",1,,,60,1,10,1,34,10,43,52,2,"",4,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",,,4,,,,,,,,,78
52,52,2013-11-08 ,2018-08-09 ,R - General - Niger -  - Follow-up of research studies in Niger and coordination support - Princeton -  -  -  - ,823322,"","",2013-01-01,2013-12-31,Niger -  - Follow-up of research studies in Niger and coordination support - Princeton,"",1,,,130,1,2,1,19,10,43,53,4,"",1,,,"","","",,,1,,,,,,"",,0,University of Princeton,"",6,6,3,2,2,1,,4,10,6,,75
53,53,2013-11-08 ,2018-08-21 ,Office Kampala  Epicentre Mbarara,821001,UG901,"",2013-01-01,2019-12-31,KAMPALA,KAMPALA,1,,,60,4,10,1,34,13,80,54,2,"",4,,,"","","",,,1,,,,,,"",,0,"","",,,,,,,,,,,,78
54,54,2013-11-08 ,2018-11-07 ,Plan de Formation  Mbarara ,821258,UG938,"",2013-01-01,2019-12-31,Plan de formation,Plan de formation,1,,,60,4,10,1,34,13,80,55,2,"",1,,,"","","",,,1,0,0,0,0,0,"",0,0,"","",,6,4,2,1,1,,1,9,3,,75
55,55,2013-11-08 ,2018-08-21 ,Plateforme Scientifique Mbarara,821009,UG909,"",2013-01-01,2019-12-31,Couts transervsaux,Couts transervsaux,1,,,60,4,10,1,34,13,80,56,2,"",4,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,78
56,56,2013-11-08 ,2018-08-08 ,R - HIV / AIDS - All -  - Appui Méthodo général - MSF-F -  -  -  - ,821148,"","",2013-01-01,2013-12-31,HIV / AIDS - All -  - Appui Méthodo général - MSF-F,"",1,,,130,2,2,1,3,,21,57,4,"",,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,20
57,57,2013-11-08 ,2016-07-11 ,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCB,822042,"","",2013-01-01,2015-12-31,"","",1,,,60,5,9,1,3,,28,58,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
58,58,2013-11-08 ,2016-07-11 ,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCBa,822105,"","",2013-01-01,2015-12-31,"","",1,,,60,5,9,1,3,,28,59,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
59,59,2013-11-08 ,2018-08-08 ,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCP,821079,"","",2013-01-01,2015-12-31,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCP,"",1,,,130,5,9,1,3,,28,60,4,"",,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,20
60,60,2013-11-08 ,2016-07-11 ,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCA,822069,"","",2013-01-01,2015-12-31,"","",1,,,60,5,9,1,3,,28,61,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
61,61,2013-11-08 ,2018-07-30 ,R - HIV / AIDS - All -  - Combined analysis of virological M-studies - MSF-F -  -  -  - MSF-E,824020,"","",2013-01-01,2013-12-31,Combined analysis of virological M-studies,"",1,,,130,1,2,1,3,,9,62,4,HIV Virological studies,1,,,"","","",,,1,,,,,,"",,1,"","",1,6,4,2,1,1,,1,3,3,,20
62,62,2013-11-08 ,2014-02-05 ,R - HIV / AIDS - All -  - Fuchia maintenance & support: v 1.7.0 - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,824197,"","",2013-01-01,2013-12-31,"","",1,,,60,2,2,1,3,,21,63,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
63,63,2013-11-08 ,2016-07-11 ,Fuchia monitoring  MSF-OCG,822078,"","",2013-01-01,2015-12-31,"","",1,,,60,5,9,1,3,,28,64,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
64,64,2013-11-08 ,2018-08-01 ,R - HIV / AIDS - All -  - Multicentric data analysis of compiled FUCHIA databases  - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,824072,"","",2013-01-01,2013-12-31,HIV / AIDS - All -  - Multicentric data analysis of compiled FUCHIA databases  - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,"",1,,,130,2,2,1,3,,21,65,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",1,6,,2,1,1,,1,5,4,,20
65,65,2013-11-08 ,2018-07-26 ,Multi-site evaluation of HIV RDT  BI,824241,"","",2013-01-01,2017-01-02,Multi-site evaluation of HIV RDT  BI,"",1,,,130,1,2,1,3,,4,66,4,"",,,,"","","",,,2,0,0,0,0,0,"",0,0,IO,"",1,6,,2,2,1,,1,9,3,,20
66,66,2013-11-08 ,2018-08-08 ,Analyse descriptive ARV/Bléomycine multicentrique  MSF-F,821077,"","",2013-01-01,2014-12-31,Analyse descriptive ARV/Bléomycine multicentrique  MSF-F,"",1,,,130,8,2,1,3,14,21,67,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",,,,,,,,,,,,20
67,67,2013-11-08 ,2018-08-08 ,Ndhiwa HIV Impact in Population Survey (NIPS),821328,"","",2013-01-01,2015-12-31,Ndhiwa HIV Impact in Population Survey (NIPS),"",1,,,130,5,9,1,3,14,17,68,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,20
68,68,2013-11-08 ,2018-08-08 ,R - HIV / AIDS - Malawi - Chiradzulu - Chiradzulu HIV Impact in Population Survey (CHIPS) - MSF-F -  -  -  - ,821333,"","",2013-01-01,2013-12-31, HIV / AIDS - Malawi - Chiradzulu - Chiradzulu HIV Impact in Population Survey (CHIPS) - MSF-F,"",1,,,130,2,2,1,3,15,17,69,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",,,,,,,,,,,,20
69,69,2013-11-08 ,2018-08-01 ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Multicentric cohort analysis of Paediatric HIV programmes from entry - MSF-F -  -  -  - ,821309,"","",2013-01-01,2013-12-31,HIV / AIDS - Uganda-Kenya-Malawi -  - Multicentric cohort analysis of Paediatric HIV programmes from entry - MSF-F,"",1,,,130,2,2,1,3,,21,70,4,"",1,,,"","","",,,1,,,,,,"",,1,"","",1,6,4,,1,,,1,5,4,,20
70,70,2013-11-08 ,2018-10-30 ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Resistance patterns in second line failing patients - MSF-F -  -  -  - ,821335,"","",2013-01-01,2013-12-31,Uganda-Kenya-Malawi -  - Resistance patterns in second line failing patients - MSF-F,"",1,,,130,8,2,1,3,,9,71,1,"",1,,,"","","",,,1,,,,,,"",1,1,"","",6,6,4,2,1,1,,1,1,3,296,20
71,71,2013-11-08 ,2018-08-01 ,R - HIV / AIDS - Uganda-Kenya-Malawi -  - Analyses - MSF-F -  -  -  - ,821336,"","",2013-01-01,2013-12-31,HIV / AIDS - Uganda-Kenya-Malawi -  - Analyses - MSF-F ,"",1,,,130,2,2,1,3,,21,72,4,"",1,,,"","","",,,1,,,,,,"",,1,"","",,,,,,,,,,,,20
72,72,2013-11-08 ,2015-04-14 ,Risk factors for visceral leishmaniasis,822239,"","",2013-01-01,2014-12-31,"","",1,,,60,2,2,1,33,,54,73,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,32
73,73,2013-11-08 ,2016-02-05 ,Malaria-Nutrition  Mali et coordination paris  2014,824338,ML903,"",2013-01-01,2015-12-31,"","",1,,,43,1,2,1,4,8,34,74,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
