rownames,topic_id,created,modified,code,display_order,created_by_id,last_modification_by_id,text_fr,text_en
57,57,2018-07-18 ,2018-07-18 ,top_nc_mat,290,,,Maladies Non transmissibles > Santé Maternelle,Non Communicable Disease > Maternal health
58,58,2018-07-18 ,2018-07-18 ,top_nc_neur,300,,,Maladies Non transmissibles > Maladie Neurologique,Non Communicable Disease > Neurological Diseases
59,59,2018-07-18 ,2018-07-18 ,top_nc_nut,310,,,Maladies Non transmissibles > Maladie Nutritionnelle,Non Communicable Disease > Nutritional Diseases
60,60,2018-07-18 ,2018-07-18 ,top_nc_ped,320,,,Maladies Non transmissibles > Maladie Pédiatrique,Non Communicable Disease > Paediatric Diseases
61,61,2018-07-18 ,2018-07-18 ,top_nc_resp,330,,,Maladies Non transmissibles > Maladie Respiratoire,Non Communicable Disease > Respiratory Diseases
62,62,2018-07-18 ,2018-07-18 ,top_nc_mh,340,,,Maladies Non transmissibles > Santé Mentale ,Non Communicable Disease > Mental Health
63,63,2018-07-18 ,2018-07-18 ,top_nc_inj,350,,,Maladies Non transmissibles > Blessures,Non Communicable Disease > Injuries and wounds
64,64,2018-07-18 ,2018-07-18 ,top_nc_sur,360,,,Maladies Non transmissibles > Chirurgie,Non Communicable Disease > Surgery
65,65,2018-07-18 ,2018-07-18 ,top_nc_sur_trau,361,,,Maladies Non transmissibles > Chirurgie > Trauma,Non Communicable Disease > Surgery > Trauma
66,66,2018-07-18 ,2021-06-16 ,top_nc_sur_oth,362,,130,Maladies Non transmissibles > Chirurgie > Autre Chirurgie,Non Communicable Disease > Surgery > Other Surgery
67,67,2018-07-18 ,2018-07-18 ,top_nc_sb,370,,,Maladies Non transmissibles > Morsures Serpent,Non Communicable Disease > Snake Bites
68,68,2018-07-18 ,2018-07-18 ,top_nc_sv,380,,,Maladies Non transmissibles > Violence Sexuelle,Non Communicable Disease > Sexual Violence
69,69,2018-07-18 ,2018-07-18 ,top_nc_neph,390,,,Maladies Non transmissibles > Maladies Nephrologiques et Urologiques,Non Communicable Disease > Urologic and Nephrologic Diseases
70,70,2018-07-18 ,2018-07-18 ,top_hs,400,,,Autre > Health Status,Other Topic > Health Status
71,71,2018-07-18 ,2018-07-18 ,top_hs_mort,410,,,Autre > Health Status > Mortalité,Other Topic > Health Status > Mortality
72,72,2018-07-18 ,2018-07-18 ,top_hs_nutsurv,411,,,Autre > Health Status > Enquête Nutritionnelle,Other Topic > Health Status > Nutrition Survey
73,73,2018-07-18 ,2018-07-18 ,top_hs_vaccsurv,412,,,Autre > Health Status > Couverture Vaccinale,Other Topic > Health Status > Vaccine Coverage
74,74,2018-07-18 ,2021-06-16 ,top_hs_oth,413,,130,Autre > Health Status > Autre Health Status,Other Topic > Health Status > Other Health Status 
75,75,2018-07-18 ,2018-07-18 ,top_mul,420,,,Autre > Multiple,Other Topic > Multiple
76,76,2018-07-18 ,2018-07-18 ,top_na,430,,,Autre > N/A,Other Topic > N/A
77,77,2018-07-18 ,2021-06-16 ,top_oth,440,,130,Autre > Autre,Other Topic > Other
78,78,2018-08-01 ,2018-08-07 ,top_env,460,130,130,Enveloppes et projets non définis,Envelopes and not defined projects
79,82,2020-03-26 ,2020-06-09 ,top_id_Respcov,136,165,130,Maladies infectieuses > Respiratoire > COVID19,Infectious disease > Respiratory > COVID19
80,83,2020-06-09 ,2020-06-09 ,top_id_Resp,135,130,130,Maladies infectieuses > Respiratoire,Infectious disease > Respiratory
