rownames,article_id,created,modified,code,editable_price,created_by_id,last_modification_by_id,fiscal_burden_nature_id,measure_unit_id,text_fr,text_en
40,40,2013-11-08 ,2013-11-08 ,AR40,1,,,13,4,Réparation générateur,Generator reparation
41,41,2013-11-08 ,2013-11-08 ,AR41,1,,,4,4,Station météo,Weather station
42,42,2013-11-08 ,2013-11-08 ,AR42,1,,,5,4,Achat voiture,Purchase of a vehicle
43,43,2013-11-08 ,2013-11-08 ,AR43,1,,,12,2,Location voiture,Car rental
44,44,2013-11-08 ,2013-11-08 ,AR44,1,,,6,,Carburant véhicule,Fuel for vehicle
45,45,2013-11-08 ,2013-11-08 ,AR45,1,,,6,,Gazole générateur,Gazole for generator
46,46,2013-11-08 ,2013-11-08 ,AR46,1,,,10,4,Frêt (materiel  médicaments  échantillons ),International freight (equipment  drugs  samples )
47,47,2013-11-08 ,2013-11-08 ,AR47,1,,,1,4,Vaccin,Vaccine
48,48,2013-11-08 ,2013-11-08 ,AR48,1,,,1,4,Médicament,Drugs
49,49,2013-11-08 ,2013-11-08 ,AR49,1,,,17,4,Comité d'éthique,Ethics committee fees
50,50,2013-11-08 ,2013-11-08 ,AR50,1,,,1,4,Nourriture thérapeutique (unimix  plumpynut  ezpasste  F100 ),Therapeutic food
51,51,2013-11-08 ,2013-11-08 ,AR51,1,,,4,4,Nourriture non-thérapeutique,Non-therapeutic food
52,52,2013-11-08 ,2013-11-08 ,AR52,1,,,8,4,Analyse médicale,Medical analysis
53,53,2013-11-08 ,2013-11-08 ,AR53,1,,,8,4,Analyse laboratoire,Laboratory analysis
54,54,2013-11-08 ,2013-11-08 ,AR54,1,,,8,4,Incentive,Incentive
55,55,2013-11-08 ,2013-11-08 ,AR55,1,,,2,4,Centrifugeuse,Centrifuge
56,56,2013-11-08 ,2015-06-17 ,AR56,1,,97,11,4,Hôtel,Hotel
57,57,2013-11-08 ,2013-11-08 ,AR57,1,,,2,4,Incubateur,Incubator
58,58,2013-11-08 ,2016-06-10 ,AR58,1,,60,20,2,Gardien,Watchman/guard
59,59,2013-11-08 ,2016-04-01 ,AR59,1,,60,20,2,Cuisinier/Lavandier,Cook/Cleaner
60,60,2013-11-08 ,2013-11-25 ,AR60,1,,60,20,2,Ouvrier,Worker
61,61,2013-11-08 ,2013-11-08 ,AR61,1,,,20,2,Aide soignant,Auxiliary nurse
62,62,2013-11-08 ,2013-11-08 ,AR62,1,,,20,2,Chauffeur,Driver
63,63,2013-11-08 ,2013-11-08 ,AR63,1,,,20,2,Opérateur de saisie,Data clerk
64,64,2013-11-08 ,2013-11-08 ,AR64,1,,,20,2,Assistant laboratoire,Laboratory assistant
65,65,2013-11-08 ,2013-11-08 ,AR65,1,,,20,2,Assistant pharmacie,Pharmacy assistant
66,66,2013-11-08 ,2013-11-08 ,AR66,1,,,20,2,Infirmier(e),Nurse
67,67,2013-11-08 ,2013-11-08 ,AR67,1,,,20,2,Data monitor,Data monitor
68,68,2013-11-08 ,2013-11-08 ,AR68,1,,,20,2,Technicien laboratoire,Laboratory technician
69,69,2013-11-08 ,2013-11-08 ,AR69,1,,,20,2,Superviseur infirmiere,Nurse supervisor
70,70,2013-11-08 ,2015-06-17 ,AR70,1,,97,20,2,Assistant ressources humaines,Human ressources assistant
71,71,2013-11-08 ,2016-02-23 ,AR71,1,,60,20,2,Assistant comptable,Accounts Assistant
72,72,2013-11-08 ,2013-11-08 ,AR72,1,,,20,2,Assistant logistique,Logistician assistant
73,73,2013-11-08 ,2013-11-08 ,AR73,1,,,20,2,Data manager,Data manager
74,74,2013-11-08 ,2016-10-27 ,AR74,1,,60,20,2,Médecin / docteur,Doctor / physician
75,75,2013-11-08 ,2013-11-08 ,AR75,1,,,20,2,Superviseur laboratoire,Laboratory supervisor
76,76,2013-11-08 ,2013-11-08 ,AR76,1,,,20,2,Agent de santé communautaire,Community health worker
77,77,2013-11-08 ,2013-11-08 ,AR77,1,,,20,2,Assistant recherche clinique,Clinical research assistant
78,78,2013-11-08 ,2013-11-08 ,AR78,1,,,20,4,Provision congés payés,Provision for paid leaves
79,79,2013-11-08 ,2013-11-08 ,AR79,1,,,5,4,Stabilisateur de tension,Voltage regulator
80,80,2013-11-08 ,2013-11-08 ,AR80,1,,,4,4,Tente,Tent
81,81,2013-11-08 ,2013-11-08 ,AR81,1,,,5,4,GPS,GPS
82,82,2013-11-08 ,2013-11-08 ,AR82,1,,,4,4,Plastic sheeting,Plastic sheeting
83,83,2013-11-08 ,2015-06-17 ,AR83,1,,97,2,4,Autres équipements laboratoire,Other laboratory equipment
84,84,2013-11-08 ,2013-11-08 ,AR84,1,,,4,4,Construction temporaire,Temporary construction
85,85,2013-11-08 ,2013-11-08 ,AR85,1,,,5,4,Radio,Radio
86,86,2013-11-08 ,2013-11-08 ,AR86,1,,,18,4,Communication externe,External communication
87,87,2013-11-08 ,2013-11-08 ,AR87,1,,,18,4,Coût de publication,Publication costs
88,88,2013-11-08 ,2013-11-08 ,AR88,1,,,20,4,Coordinateur logistique,Logistic coordinator
89,89,2013-11-08 ,2013-11-08 ,AR89,1,,,20,4,Coordinateur finance et ressources humaines,Finance and human resources coordinator
90,90,2013-11-08 ,2013-11-08 ,AR90,1,,,20,4,Coordinateur médical,Medical coordinator
91,91,2013-11-08 ,2013-11-08 ,AR91,1,,,20,4,Coordinateur du laboratoire,Laboratory coordinator
92,92,2013-11-08 ,2014-12-03 ,AR92,1,,60,20,4,Chef de mission / Directeur de base,Head of mission / Director
93,93,2013-11-08 ,2013-11-08 ,AR93,1,,,20,4,Break personnel expatrié,Break for expatriate
94,94,2013-11-08 ,2013-11-08 ,AR94,1,,,4,4,Moustiquaire,Mosquito net
95,95,2013-11-08 ,2013-11-08 ,AR95,1,,,4,4,Savon,Soap
96,96,2013-11-08 ,2013-11-08 ,AR96,1,,,10,4,Dédouanement,Customs clearance
97,97,2013-11-08 ,2021-04-22 ,AR97,1,,185,28,3,Jour d'expertise,Expertise day
98,98,2013-11-08 ,2013-11-08 ,AR98,1,,,17,2,Avocat,Legal Fees
99,99,2013-11-08 ,2013-11-08 ,AR99,1,,,17,,Assurance Recherche Médicale,Research Insurance
100,100,2013-11-08 ,2013-11-08 ,AR100,1,,,22,2,Côut de Recrutement,Recruitment Cost
101,101,2013-11-08 ,2013-11-08 ,AR101,1,,,19,2,Impôts et taxes divers ( hors salaires),Taxes ( except salary)
102,102,2013-11-08 ,2015-06-17 ,AR102,1,,97,12,4,Location Matériel et Mobilier bureau,Rent material and office furniture 
103,103,2013-11-08 ,2015-06-17 ,AR103,1,,97,13,,Maintenance matériel informatique,Maintenance computer hardware
104,104,2013-11-08 ,2013-11-08 ,AR104,1,,,12,2,Location de salle,Rent of room
105,105,2013-11-08 ,2013-11-08 ,AR105,1,,,13,2,Entretien et réparation Mat télecom,Maintenance telecom equipment
106,106,2013-11-08 ,2013-11-08 ,AR106,1,,,15,2,Bgan,Bgan
107,107,2013-11-08 ,2015-06-17 ,AR107,1,,97,18,4,Matériel d'identification ( tee-shirt-badges-drapeaux-autocollants-brassards),Identification material
108,108,2013-11-08 ,2013-11-08 ,AR108,1,,,8,4,Consultations et références médicales,Medical consultations and referrals
109,109,2013-11-08 ,2013-11-08 ,AR109,1,,,15,4,Courrier,Courrier
110,110,2013-11-08 ,2013-11-08 ,AR110,1,,,12,2,Location matériel télécom,Rent telecom material
111,111,2013-11-08 ,2013-11-08 ,AR111,1,,,13,4,Entretien  vehicule ,Vehicle maintenance 
112,112,2013-11-08 ,2013-11-08 ,AR112,1,,,6,4,Pièces détachées vehicules,Vehicles spare parts
113,113,2013-11-08 ,2013-11-08 ,AR113,1,,,12,2,Frais de stockage,Storage
114,114,2013-11-08 ,2013-11-08 ,AR114,1,,,2,4,Porte -Vaccins,Vaccines boxes
115,115,2013-11-08 ,2013-11-08 ,AR115,1,,,2,4,Ultra-freezer,Ultra-freezer
116,116,2013-11-08 ,2013-11-08 ,AR116,1,,,5,4,Sécurisation éléctrique ( batterie stabilisateur-ondulateur),Electric  safety
117,117,2013-11-08 ,2013-11-08 ,AR117,1,,,2,4,Microscope,Microscope
118,118,2013-11-08 ,2013-11-08 ,AR118,1,,,2,4,Automate laboratoire,Automatic laboratory
119,119,2013-11-08 ,2013-11-08 ,AR119,1,,,3,4,Reactifs laboratoire,Laboratory reagent
120,120,2013-11-08 ,2013-11-08 ,AR120,1,,,3,4,Consommable laboratoire,Laboratory consummable
121,121,2013-11-08 ,2013-11-08 ,AR121,1,,,3,4,Petit Matériel laboratoire ( non périssable) ,Laboratory Material (non-perishable )
122,122,2013-11-08 ,2013-11-08 ,AR122,1,,,4,4,Filtres à eau,Water-Filter
123,123,2013-11-08 ,2015-06-17 ,AR123,1,,97,5,4,Moto-pompes,Water pump
124,124,2013-11-08 ,2013-11-08 ,AR124,1,,,5,4,Réservoir ,Water tank
125,125,2013-11-08 ,2013-11-08 ,AR125,1,,,2,4,Glacière,Cool box
126,126,2013-11-08 ,2013-11-08 ,AR126,1,,,2,4,Accumulateur froid,Cold accumulator
127,127,2013-11-08 ,2015-06-17 ,AR127,1,,97,2,4,Indicateur de température (non médical),Temperature indicator (non medical)
128,128,2013-11-08 ,2013-11-08 ,AR128,1,,,5,4,Eclairage,Lighting
129,129,2013-11-08 ,2013-11-08 ,AR129,1,,,4,4,Chlore -désinfectant,Chlorine-disinfectant
130,130,2013-11-08 ,2013-11-08 ,AR130,1,,,4,4,Insecticide,Insecticide
131,131,2013-11-08 ,2013-11-08 ,AR131,1,,,17,4,Traducteur,Translator
132,132,2013-11-08 ,2013-11-08 ,AR132,1,,,2,4,Equipement médical (e.g X-ray  extracteur O2  etc ),Medical equipment (e g X-ray  oxygen extractor etc.)
133,133,2013-11-08 ,2013-11-08 ,AR133,1,,,2,4,Petit matériel médical (e.g tensiomètre  kit nut  etc.),Small medical equipment (e.g blood pressure monitor  nutritional kit  etc.)
134,134,2013-11-08 ,2013-11-08 ,AR134,1,,,3,4,Consommable médical (renouvelable),Medical renewable supplies and consumables
135,135,2013-11-08 ,2013-11-08 ,AR135,1,,,1,4,Pharmacie expatriés,Expatriate pharmacy
136,136,2013-11-08 ,2013-11-08 ,AR136,1,,,2,4,Maintenance équipement médical/laboratoire,Laboratory and medical equipment maintenance
137,137,2013-11-08 ,2013-11-08 ,AR137,1,,,2,4,Réparation équipement médical/laboratoire,Laboratory and medical equipment reparation
138,138,2013-11-08 ,2013-11-08 ,AR138,1,,,3,4,Thermomètre médical,Medical thermometer
139,139,2013-11-08 ,2015-06-17 ,AR139,1,,97,5,4,Equipement et gros outillage non médical : brouette  bétonneuse  meuleuse ,Equipment and non medical main tool : wheelbarrow  ciment mixer  grinder
140,140,2013-11-08 ,2013-11-08 ,AR140,1,,,9,4,Construction et réhabilitation sous-traitées (matériaux et main d' uvre),Construction and rehabilitation outsourced (equipment and human ressources)
141,141,2013-11-08 ,2013-11-08 ,AR141,1,,,4,4,Matériaux de construction et de rehabilitation (sable  ciment  bois  peinture  fer  brique ),Construction and rehabilitation materials (sand  cement  wood  paint  iron  bricks )
142,142,2013-11-08 ,2013-11-08 ,AR142,1,,,18,4,Impression d'un poster,Poster printing
143,143,2013-11-08 ,2013-11-08 ,AR143,1,,,23,4,Journalier,Daily worker
144,144,2013-11-08 ,2013-11-08 ,AR144,1,,,20,4,Pharmacien,Pharmacist
145,145,2013-11-08 ,2013-11-08 ,AR145,1,,,20,4,Microscopiste,Microscopist
146,146,2013-11-08 ,2013-11-08 ,AR146,1,,,20,4,Assistant nutritionnel,Nutritional assistant
147,147,2013-11-08 ,2013-11-08 ,AR147,1,,,20,4,Administrateur,Administrator
148,148,2013-11-08 ,2013-11-08 ,AR148,1,,,20,4,Logisticien,Logistician
149,149,2013-11-08 ,2013-11-08 ,AR149,1,,,20,4,Assistant étude terrain,Study field  assistant
150,150,2013-11-08 ,2013-11-08 ,AR150,1,,,20,4,Enquêteur,Surveyor
151,151,2013-11-08 ,2013-11-08 ,AR151,1,,,20,4,Coordinateur data management,Data management coordinator
152,152,2013-11-08 ,2013-11-08 ,AR152,1,,,11,4,Billet d'avion (national),Plane ticket (national)
153,153,2013-11-08 ,2013-11-08 ,AR153,1,,,16,,Assurance véhicules,Vehicles insurance
154,154,2013-11-08 ,2013-11-08 ,AR154,1,,,20,2,Facilitateur formation,Training facilitator
155,155,2013-11-08 ,2013-12-05 ,AR155,1,,60,29,2,Enveloppe de coûts opérationnels,Operational costs enveloppe
156,156,2013-11-15 ,2014-07-30 ,AR156,1,60,60,12,4,Garage,Garage
157,157,2013-11-15 ,2016-03-12 ,AR157,1,60,60,4,4,Malle sécurité,Safety chest
158,158,2013-11-15 ,2013-12-09 ,AR158,1,60,60,20,2,Assitant comptable et RH,Accounting and HR assistant
159,159,2013-11-15 ,2014-05-08 ,AR159,1,60,60,20,2,Médecin assistant étude,Study assistant doctor
160,160,2013-11-15 ,2015-06-08 ,AR160,1,60,60,20,2,Coordinateur terrain,Field coordinator
161,161,2013-11-15 ,2018-02-20 ,AR161,1,60,60,20,2,Moniteur étude,Study monitor
162,162,2013-11-15 ,2017-05-29 ,AR162,1,60,60,20,2,Opérateur radio,Radio operator
163,163,2013-11-15 ,2013-12-09 ,AR163,1,60,60,20,2,Responsable IT,IT manager
164,164,2013-11-15 ,2017-09-07 ,AR164,1,60,60,4,4,Articles de secours,Emergency articles
165,165,2013-11-15 ,2015-04-03 ,AR165,1,60,60,17,4,Consultant,Consultant
166,166,2013-11-15 ,2021-07-09 ,AR166,1,60,176,20,2,Gestionnaire de stock Pharmacie,Pharmacy stock manager
167,167,2013-11-18 ,2013-11-18 ,AR167,1,60,60,20,2,Maître de recherche,Senior research associate
168,168,2013-11-18 ,2013-11-18 ,AR168,1,60,60,20,2,Assistant de recherche junior,Junior research assistant
169,169,2013-11-18 ,2013-11-18 ,AR169,1,60,60,20,2,Infirmière en chef,Head nurse
170,170,2013-11-18 ,2016-03-23 ,AR170,1,60,60,20,2,Registraire clinique,Clinical registrar
171,171,2013-11-21 ,2013-11-21 ,AR171,1,60,60,3,4,Sacs plastique et gants,Plastic bags and gloves
172,172,2013-11-21 ,2013-11-21 ,AR172,1,60,60,3,4,Cartouches genexpert,Cartridges Genexpert
173,173,2013-11-21 ,2013-11-21 ,AR173,1,60,60,3,4,Test HIV,HIV test
174,174,2013-11-21 ,2013-11-21 ,AR174,1,60,60,3,4,Test de grossesse,Pregnancy test
175,175,2013-11-21 ,2013-11-21 ,AR175,1,60,60,3,4,Mesure CD4,CD4 count
176,176,2013-11-21 ,2015-06-17 ,AR176,1,60,97,2,4,Biochimie,Biochemistry
177,177,2013-11-21 ,2013-11-21 ,AR177,1,60,60,3,4,Numération sanguine,Full blood count
178,179,2013-11-21 ,2014-12-17 ,AR178,1,60,60,3,4,Lames  pipettes  boîte de pétri  gel UG,Slides pipettes  loops  petri dish  UG gel
179,181,2013-11-21 ,2013-11-21 ,AR179,1,60,60,3,4,Désinfectant  Apron  saline hypertonique,Disinfectant  Apron  Hypertonic Saline
180,182,2013-11-21 ,2013-11-21 ,AR180,1,60,60,5,4,Equipement de communication,Communication equipment
181,183,2013-11-21 ,2013-11-21 ,AR181,1,60,60,5,4,Equipement vidéo conférence,Video conferencing equipment
182,185,2013-11-21 ,2013-11-21 ,AR182,1,60,60,20,2,Agent d'enregistrement,Record officer
183,186,2013-11-21 ,2013-11-21 ,AR183,1,60,60,20,2,Archiviste,Archivist officer
184,187,2013-11-21 ,2013-11-21 ,AR184,1,60,60,20,2,Assistant data manager,Data assistant manager
185,188,2013-11-21 ,2013-11-21 ,AR185,1,60,60,20,2,Assistant data manager,IT manager assistant
186,190,2013-11-22 ,2013-12-09 ,AR186,1,60,60,20,2,Manager laboratoire niveau 9,Laboratory manager level 9
187,191,2013-11-22 ,2013-11-22 ,AR187,1,60,60,20,2,Responsable qualité laboratoire niveau 9,Laboratory quality officer level 9
188,192,2013-11-22 ,2013-11-22 ,AR188,1,60,60,20,2,Technicien laboratoire niveau 7,Laboratory technician level 7
189,193,2013-11-22 ,2013-11-22 ,AR189,1,60,60,20,2,Superviseur laboratoire TB niveau 11,Laboratory supervisor TB level 11
190,194,2013-11-22 ,2013-11-22 ,AR190,1,60,60,20,2,Assistant laboratoire niveau 5,Laboratory assistant level 5
191,195,2013-11-22 ,2013-11-22 ,AR191,1,60,60,20,2,Technicien laboratoire niveau 8,Laboratory technician level 8
192,196,2013-11-25 ,2013-11-25 ,AR192,1,60,60,1,4,Achats d'articles médicaux,Purchase of medical items
193,197,2013-11-25 ,2013-11-25 ,AR193,1,60,60,2,4,Achat d'équipement médical,Purchase of medical equipment
194,198,2013-11-25 ,2013-11-25 ,AR194,1,60,60,3,4,Fournitures et consommables médicaux,Medical renewable supplies and consumables
195,199,2013-11-25 ,2013-11-25 ,AR195,1,60,60,4,4,Achats d'articles non médicaux,Purchase of non medical material
196,200,2013-11-25 ,2013-11-25 ,AR196,1,60,60,5,4,Achat d'équipement non médical,Purchase of non medical equipment
197,201,2013-11-25 ,2013-11-25 ,AR197,1,60,60,6,4,Petit matériel et consommables non médicaux,Non medical renewable supplies and consumables
198,202,2013-11-25 ,2013-11-25 ,AR198,1,60,60,7,4,Achat de terrain et locaux,Purchase of land and facilities
199,203,2013-11-25 ,2013-11-25 ,AR199,1,60,60,8,4,Services sous-traités médicaux,Subcontracted medical services
200,204,2013-11-25 ,2013-11-25 ,AR200,1,60,60,9,4,Services sous-traités non médicaux,Subcontracted non-medical services
201,205,2013-11-25 ,2013-11-25 ,AR201,1,60,60,10,4,Fret,Freight
202,206,2013-11-25 ,2013-11-25 ,AR202,1,60,60,11,4,Transports de personnes,Transportation of persons
203,207,2013-11-25 ,2013-11-25 ,AR203,1,60,60,12,4,Location,Rental
204,208,2013-11-25 ,2013-11-25 ,AR204,1,60,60,13,4,Maintenance et entretien,Maintenance
205,209,2013-11-25 ,2013-11-25 ,AR205,1,60,60,14,4,Eau  gaz et électricité,Utilities and other energy consumables
206,210,2013-11-25 ,2013-11-25 ,AR206,1,60,60,15,4,Frais de communication,Communication costs
207,211,2013-11-25 ,2013-11-25 ,AR207,1,60,60,16,4,Assurances de locaux et équipement,Insurance of premises and equipment
208,212,2013-11-25 ,2013-11-25 ,AR208,1,60,60,17,4,Services profesionnels,External services
209,213,2013-11-25 ,2013-11-25 ,AR209,1,60,60,18,4,Frais de communication externe et représentation,External communication and representation
210,214,2013-11-25 ,2013-11-25 ,AR210,1,60,60,19,4,Autres dépenses de fonctionnement,Other general running costs
211,215,2013-11-25 ,2013-11-25 ,AR211,1,60,60,20,4,Rémunération du personnel,Payroll
212,216,2013-11-25 ,2013-11-25 ,AR212,1,60,60,21,4,Cotisations sociales employeurs,Employer contributions
213,217,2013-11-25 ,2013-11-25 ,AR213,1,60,60,22,4,Autres charges de personnel,Other staff costs
214,218,2013-11-25 ,2013-11-25 ,AR214,1,60,60,23,4,Personnel temporaire,Temporary staff
215,219,2013-11-25 ,2013-11-25 ,AR215,1,60,60,24,4,Donation,Donation
216,220,2013-11-25 ,2013-11-25 ,AR216,1,60,60,25,4,Recette financière,Financial income
217,221,2013-11-25 ,2013-11-25 ,AR217,1,60,60,26,4,Ventes d'équipements ou de biens,Sales of equipment and goods
218,222,2013-11-25 ,2013-11-25 ,AR218,1,60,60,27,4,Autres services sous-traités,Other subcontracted services
219,223,2013-11-27 ,2013-11-27 ,AR219,1,60,60,20,2,Travailleur social,Social worker
220,224,2013-12-09 ,2013-12-09 ,AR220,1,60,60,20,2,Stagiaire,Internship
221,225,2013-12-20 ,2021-07-09 ,Z0000,1,,176,31,4,Hors D2,Not in D2
222,226,2013-12-20 ,2013-12-20 ,AR221,1,60,60,31,4,Siège,Headquarters
223,227,2014-01-03 ,2014-01-03 ,AR222,1,60,60,33,4,Dépenses diverses,Other expenses
224,228,2014-02-05 ,2016-07-11 ,AR223,1,60,60,34,,Dotations,Depreciation
225,229,2014-02-05 ,2021-07-09 ,AR224,1,60,176,35,4,Dotations provision financement,Dotations provision financement
226,230,2014-06-23 ,2016-06-10 ,AR225,1,60,60,20,2,Superviseur gardiens,Head watchman/head guard
227,231,2014-06-23 ,2014-06-23 ,AR226,1,60,60,20,2,Superviseur transport,Transport Supervisor
228,232,2014-07-24 ,2014-07-24 ,AR227,1,56,56,20,2,Communicateur,Communicateur
229,233,2014-07-29 ,2015-08-26 ,AR228,1,56,60,20,,Moniteur,Monitor
230,234,2014-07-29 ,2015-06-17 ,AR229,1,56,97,20,,Moniteur Médical Adjoint,Medical Adjoint Instructor
231,235,2014-07-29 ,2015-08-26 ,AR230,1,56,60,20,,Moniteur Adjoint,Monitor assistant
232,237,2014-07-29 ,2015-06-17 ,AR232,1,56,97,5,4,Achat Moto,Motorbike purchase
233,238,2014-07-29 ,2015-06-17 ,AR233,1,56,97,6,2,Entretien Moto,Motorbike maintenance
234,239,2014-07-29 ,2017-10-12 ,AR234,1,56,60,6,2,Intendance,Intendance
235,240,2014-07-29 ,2015-06-17 ,AR235,1,56,97,20,2,Coordinateur Etudes,Study Coordinator
236,241,2014-07-30 ,2015-06-17 ,AR236,1,56,97,4,2,Contribution Eau et Electricite Site,Water and Electricity Contribution
237,242,2014-07-30 ,2015-06-17 ,AR237,1,56,97,20,2,Agent Chaine de Froid,Cold Chain Agent
238,243,2014-08-04 ,2014-08-04 ,AR239,1,60,60,27,4,DSMB,DSMB
239,244,2014-08-04 ,2014-08-04 ,AR238,1,60,60,27,4,Comité scientifique,Scientific Committee
240,245,2014-10-01 ,2014-10-01 ,AR240,1,56,56,20,2,sage Femme,sage Femme
241,246,2014-10-01 ,2014-10-01 ,AR241,1,56,56,20,2,Investigateur Terrain Médical ,Investigateur Terrain Médical 
242,248,2014-10-02 ,2014-10-02 ,AR242,1,60,60,20,2,Guide,Guide
243,249,2014-11-11 ,2015-06-17 ,AR243,1,56,97,20,2,Sage Femme,Midwife
244,252,2014-11-11 ,2015-06-17 ,AR244,1,56,97,20,2,Opérateur de Saisie et Archivage,Data clerck and archival
245,253,2014-11-11 ,2015-06-17 ,AR245,1,56,97,20,2,Superviseur Comptable,Accounting supervisor
246,254,2014-11-11 ,2015-06-17 ,AR246,1,56,97,20,2,Superviseur RH,HR Supervisor
247,255,2014-11-11 ,2015-06-17 ,AR247,1,56,97,20,2,Superviseur Logisticien etude,Logistician Study Supervisor
248,256,2014-11-11 ,2015-06-17 ,AR248,1,56,97,16,4,Assurance Moto,Motorbike Insurance
249,257,2014-11-11 ,2015-06-17 ,AR249,1,56,97,20,2,Superviseur Pharmacien,Pharmacist Supervisor
250,258,2014-11-13 ,2015-06-17 ,AR250,1,56,97,20,2,Médecin Investigateur Terrain,Investigator Field Doctor
251,259,2014-11-13 ,2015-06-17 ,AR251,1,56,97,20,2,Assistant Investigateur Terrain,Investigator Field Assistant
252,260,2014-11-13 ,2015-06-17 ,AR252,1,56,97,20,2,Chargé Informatique,IT Manager
253,261,2014-11-29 ,2015-06-17 ,AR253,1,56,97,20,2,Superviseur Logisticien,Logistician Supervisor
254,262,2014-11-29 ,2015-06-17 ,AR254,1,56,97,20,2,Superviseur RH et Comptable,HR and Accounting Supervisor
255,263,2014-11-29 ,2015-06-17 ,AR255,1,56,97,20,2,Responsable Laboratoire,Laboratory Manager
256,264,2014-11-29 ,2014-11-29 ,AR256,1,56,56,20,2,Data Contrôleur,Data Contrôleur
257,265,2014-11-29 ,2014-11-29 ,AR257,1,56,56,20,2,Gestionnaire Système Informatiques et Réseaux,Gestionnaire Système Informatiques et Réseaux
258,266,2014-11-29 ,2015-06-17 ,AR258,1,56,97,20,2,Acheteur ,Buyer
259,267,2014-12-03 ,2015-08-25 ,AR259,1,60,60,9,4,Electricien (prestation),Electrician (external services)
260,268,2014-12-03 ,2014-12-03 ,AR260,1,60,60,9,4,Watsan,Watsan
261,269,2014-12-03 ,2014-12-03 ,AR261,1,60,60,5,4,Incinérateur,Incinerator
