rownames,axe1_analytical_section_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
76,76,2013-11-08 ,2013-11-08 ,821324,,,R - Malaria - Tchad - Moissala - Résistance SP+AQ - MSF-F -  -  -  - ,R - Malaria - Tchad - Moissala - Résistance SP+AQ - MSF-F -  -  -  - 
77,77,2013-11-08 ,2013-11-08 ,821268,,,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - MSF-F -  -  -  - ,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - MSF-F -  -  -  - 
78,78,2013-11-08 ,2013-11-08 ,823372,,,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - MGH -  -  -  - ,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - MGH -  -  -  - 
79,79,2013-11-08 ,2013-11-08 ,824384,,,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - BI -  -  -  - ,R - Malaria - Uganda - Mbarara - Evaluation Sécurité et efficacité Monoxyde d'azote (NO) - BI -  -  -  - 
80,80,2013-11-08 ,2013-11-08 ,821281,,,R - Malaria - Uganda - Mbarara - Time to become negative of three rapid diagnostic tests for malaria in children under 5 years of age - MSF-F -  -  -  - ,R - Malaria - Uganda - Mbarara - Time to become negative of three rapid diagnostic tests for malaria in children under 5 years of age - MSF-F -  -  -  - 
81,81,2013-11-08 ,2013-11-08 ,821270,,,R - VPD - Malawi - Chiradzulu - HIV and Measles serologic study - MSF-F -  -  -  - ,R - VPD - Malawi - Chiradzulu - HIV and Measles serologic study - MSF-F -  -  -  - 
82,82,2013-11-08 ,2013-11-08 ,821159,,,R - Pediatrics - Uganda - Mbarara -  Etiology of CNS infections in children - MSF-F -  -  -  - ,R - Pediatrics - Uganda - Mbarara -  Etiology of CNS infections in children - MSF-F -  -  -  - 
83,83,2013-11-08 ,2013-11-08 ,812173,,,R - Malaria - Guinea Conakry - Guekedou - Community surveillance - MSF-CH -  -  -  - ,R - Malaria - Guinea Conakry - Guekedou - Community surveillance - MSF-CH -  -  -  - 
84,84,2013-11-08 ,2013-11-08 ,821242,,,R - Nutrition - Niger - Maradi - Systematic amoxicillan vs. placebo in non-complicated SAM - MSF-F -  -  -  - ,R - Nutrition - Niger - Maradi - Systematic amoxicillan vs. placebo in non-complicated SAM - MSF-F -  -  -  - 
85,85,2013-11-08 ,2013-11-08 ,821297,,,R - Nutrition - Niger - Madarounfa - Monitoring of U2 cohorts with different interventions - MSF-F -  -  -  - ,R - Nutrition - Niger - Madarounfa - Monitoring of U2 cohorts with different interventions - MSF-F -  -  -  - 
86,86,2013-11-08 ,2013-11-08 ,821095,,,R - Nutrition - Niger - Maradi - Risk factors of death of acute malnutrition in TFC and cause of morbidity - MSF-F -  -  -  - ,R - Nutrition - Niger - Maradi - Risk factors of death of acute malnutrition in TFC and cause of morbidity - MSF-F -  -  -  - 
87,87,2013-11-08 ,2013-11-08 ,821269,,,R - Pediatrics - All -  - Prevention and improved access through box delivery - MSF-F -  -  -  - ,R - Pediatrics - All -  - Prevention and improved access through box delivery - MSF-F -  -  -  - 
88,88,2013-11-08 ,2013-11-08 ,824348,,,R - VPD - Uganda - Mbarara - Effectiveness of mass pneumococcal conjugate vaccination - BI -  -  -  - ,R - VPD - Uganda - Mbarara - Effectiveness of mass pneumococcal conjugate vaccination - BI -  -  -  - 
89,89,2013-11-08 ,2013-11-08 ,822352,,,R - Malaria - Guinea -  - Cross Sectional Surveys - MSF-CH -  -  -  - ,R - Malaria - Guinea -  - Cross Sectional Surveys - MSF-CH -  -  -  - 
90,90,2013-11-08 ,2013-11-08 ,822284,,,R - TB - Swaziland - Shiselweni - Monitoring implementation of IPT for PLHIV - MSF-CH -  -  -  - ,R - TB - Swaziland - Shiselweni - Monitoring implementation of IPT for PLHIV - MSF-CH -  -  -  - 
91,91,2013-11-08 ,2013-11-08 ,824349,,,R - TB - All -  - Monitoring of the introduction of the GeneXpert  - MSF-F -  - MSF-CH -  - ,R - TB - All -  - Monitoring of the introduction of the GeneXpert  - MSF-F -  - MSF-CH -  - 
92,92,2013-11-08 ,2013-11-08 ,824255,,,R - TB - All -  - Multicentric MSF Drug resistant tuberculosis study - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,R - TB - All -  - Multicentric MSF Drug resistant tuberculosis study - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E
93,93,2013-11-08 ,2013-11-08 ,821313,,,R - TB - All -  - Support méthodo TB ITM - MSF-F -  -  -  - ,R - TB - All -  - Support méthodo TB ITM - MSF-F -  -  -  - 
94,94,2013-11-08 ,2013-11-08 ,821326,,,R - TB - All -  - Scientific Advisory Board TB - MSF-F -  -  -  - ,R - TB - All -  - Scientific Advisory Board TB - MSF-F -  -  -  - 
95,95,2013-11-08 ,2013-11-08 ,821257,,,R - TB - Armenia -  - Cohort of paediatric MDR-TB contacts - MSF-F -  -  -  - ,R - TB - Armenia -  - Cohort of paediatric MDR-TB contacts - MSF-F -  -  -  - 
96,96,2013-11-08 ,2013-11-08 ,821122,,,R - TB - Armenia -  - PDR and MDR-TB: prospective cohort study - MSF-F -  -  -  - ,R - TB - Armenia -  - PDR and MDR-TB: prospective cohort study - MSF-F -  -  -  - 
97,97,2013-11-08 ,2013-11-08 ,821248,,,R - TB - Armenia -  - Predictors of defaulting in drug resistant TB patients - MSF-F -  -  -  - ,R - TB - Armenia -  - Predictors of defaulting in drug resistant TB patients - MSF-F -  -  -  - 
98,98,2013-11-08 ,2013-11-08 ,821289,,,R - TB - Cambodia - Campo Cham - Non-Tuberculosis Mycobacterium infections Study - MSF-F -  -  -  - ,R - TB - Cambodia - Campo Cham - Non-Tuberculosis Mycobacterium infections Study - MSF-F -  -  -  - 
99,99,2013-11-08 ,2013-11-08 ,821181,,,R - TB - Georgia -  - PDR and MDR-TB: prospective cohort study - MSF-F -  -  -  - ,R - TB - Georgia -  - PDR and MDR-TB: prospective cohort study - MSF-F -  -  -  - 
100,100,2013-11-08 ,2013-11-08 ,821265,,,R - TB - Georgia -  - Variability of DST for ethambutol and mutations implicated in resistance - MSF-F -  -  -  - ,R - TB - Georgia -  - Variability of DST for ethambutol and mutations implicated in resistance - MSF-F -  -  -  - 
101,101,2013-11-08 ,2013-11-08 ,821357,,,R - TB - Kenya - Homa Bay - Xpert diagnostic algorithm - MSF-F -  -  -  - ,R - TB - Kenya - Homa Bay - Xpert diagnostic algorithm - MSF-F -  -  -  - 
102,102,2013-11-08 ,2013-11-08 ,821358,,,R - TB - Kenya - Mathare - IPT feasibility study - MSF-F -  -  -  - ,R - TB - Kenya - Mathare - IPT feasibility study - MSF-F -  -  -  - 
103,103,2013-11-08 ,2013-11-08 ,824279,,,R - TB - Southern Africa - Kayelitsha - Evaluation of a chest-X ray TB tick-sheet - BI -  -  -  - ,R - TB - Southern Africa - Kayelitsha - Evaluation of a chest-X ray TB tick-sheet - BI -  -  -  - 
104,104,2013-11-08 ,2013-11-08 ,821182,,,R - TB - Uganda - Mbarara - Evaluation du string test pour le diagnostic TB chez l'enfant et l'adulte ne pouvant cracher - MSF-F -  -  -  - ,R - TB - Uganda - Mbarara - Evaluation du string test pour le diagnostic TB chez l'enfant et l'adulte ne pouvant cracher - MSF-F -  -  -  - 
105,105,2013-11-08 ,2013-11-08 ,821260,,,R - TB - Uganda - Mbarara - Evaluation of children in contact with TB patients - MSF-F -  -  -  - ,R - TB - Uganda - Mbarara - Evaluation of children in contact with TB patients - MSF-F -  -  -  - 
106,106,2013-11-08 ,2013-11-08 ,824372,,,R - TB - Uganda - Mbarara - Evaluation of the Small Membrane Filtration for diagnosis of pulmonary tuberculosis - BI -  -  -  - ,R - TB - Uganda - Mbarara - Evaluation of the Small Membrane Filtration for diagnosis of pulmonary tuberculosis - BI -  -  -  - 
107,107,2013-11-08 ,2013-11-08 ,821230,,,R - TB - Uganda - Mbarara - Evaluation of the Small Membrane Filtration for diagnosis of pulmonary tuberculosis - MSF-F -  -  -  - ,R - TB - Uganda - Mbarara - Evaluation of the Small Membrane Filtration for diagnosis of pulmonary tuberculosis - MSF-F -  -  -  - 
108,108,2013-11-08 ,2013-11-08 ,821373,,,R - TB - All -  - Development of research proposal on MDR-TB trial - MSF-F -  -  -  - ,R - TB - All -  - Development of research proposal on MDR-TB trial - MSF-F -  -  -  - 
109,109,2013-11-08 ,2013-11-08 ,821375,,,R - Nutrition - All - All - Cost-effectiveness analyses of different programatic options for nutritional programs - MSF-F -  -  -  - ,R - Nutrition - All - All - Cost-effectiveness analyses of different programatic options for nutritional programs - MSF-F -  -  -  - 
110,110,2013-11-08 ,2013-11-08 ,822377,,,R - Malaria - Myanmar -  - Protocol development - MSF-CH -  -  -  - ,R - Malaria - Myanmar -  - Protocol development - MSF-CH -  -  -  - 
111,111,2013-11-08 ,2013-11-08 ,821379,,,R - Nutrition - Mali - Koutiala - Methodological and technical support - MSF-F -  -  -  - ,R - Nutrition - Mali - Koutiala - Methodological and technical support - MSF-F -  -  -  - 
112,112,2013-11-08 ,2013-11-08 ,821380,,,R - Nutrition - Niger - Niamey - Methodological and technical support - MSF-F -  -  -  - ,R - Nutrition - Niger - Niamey - Methodological and technical support - MSF-F -  -  -  - 
113,113,2013-11-08 ,2013-11-08 ,821381,,,R - TB - Kenya - Mathare and Homa Bay - Outcomes of the first Multidrug Resistant Tuberculosis program - MSF-F -  -  -  - ,R - TB - Kenya - Mathare and Homa Bay - Outcomes of the first Multidrug Resistant Tuberculosis program - MSF-F -  -  -  - 
114,114,2013-11-08 ,2013-11-08 ,822382,,,R - Nutrition - Tchad - Massakory  - Fluid Management in Children in Shock with Underlying Severe Acute Malnutrition - MSF-CH -  -  -  - ,R - Nutrition - Tchad - Massakory  - Fluid Management in Children in Shock with Underlying Severe Acute Malnutrition - MSF-CH -  -  -  - 
